spec	n	t
1RB0RB_1LC0RA_1LD0LB_1RA1LC	6	0
1RB0LD_0LC1RA_0LD1LC_0RA1LA	6	0
1RB0RD_1LC0RC_1LD0LC_1RA0LC	6	0
1RB1RA_0LC1RD_1LA1LC_1LA0RB	6	0
1RB0LA_0RC0LA_1LD1RD_1LA0RB	6	0
1RB0LA_1LC1RC_1LA1RD_1RB0RB	6	0
1RB1LC_0LC0RC_1RA0LD_1RA1LD	6	0
1RB0LC_0LA1RD_1LA1LC_0RA1RB	6	0
1RB0RC_1LC1RA_0LD1LC_1LA1LA	6	0
1RB1LD_0RC0RD_1LD0LC_0LA1LA	6	0
1RB0LA_0RC1LA_1RD1RD_1LB1RB	6	0
1RB1LB_0LC1RD_1LA1LC_1RB0RB	6	0
1RB0LD_1LC1RA_0RA1LC_0RD1LA	6	0
0RB1LD_1LC1RB_0LD1RD_1LA0RC	6	0
1RB0LB_1LC0RD_1LD1LC_1RB0RA	6	0
1RB1LA_0LC0RD_1RA1LD_1LB0RA	6	0
1RB1LA_0LA0RC_1RD1RC_1LD0LA	6	0
1RB0LA_1LC1LA_1RD0LB_1RA0RC	6	0
1RB0LD_1LC1RB_1RC1LA_1RD0RB	6	0
1RB0LB_1RC0RB_1LD0RB_1LA0LD	6	0
1RB1LC_1LC0LD_1RD0LB_0RA1RD	6	0
1RB1LA_0LA1RC_1LA0RD_0RB1RD	6	0
1RB0LA_0RC1RD_1LC1LA_0RB0RC	6	0
1RB1LC_1RC0RB_0LD0RB_1LA1RD	6	0
1RB0LC_1LC1RD_0LA1LA_0RC0RB	6	0
1RB0LD_1LC1RA_1LD1LC_0RA1LA	6	0
1RB1LD_1RC1RB_1LA0LD_1LB1LA	6	0
1RB1LD_1RC1RB_0LC1RD_1LA0RC	6	0
1RB0LA_1LC0RB_1RD0LD_1LA1RB	6	0
1RB1LD_0LC1RB_0LC1RD_1LA0RC	6	0
1RB1LD_0RC1LC_1LA1RC_0RD0LA	6	0
1RB0RD_1LC0RD_1LD0LC_1RA0LC	6	0
1RB0LA_0RC0RA_0LD1RA_1LD0LA	6	0
1RB0LD_1LC1RA_0RD1LC_1LA1LA	6	0
1RB---_1LC0RB_0LD0LB_0RA1LB	6	0
1RB1LC_1LC0RD_1LD0LB_1RB1RA	6	0
1RB0LC_1RC0RA_1LA0LD_1LC1RB	6	0
1RB0RA_0LC1RA_1RA0LD_1LC1RD	6	0
1RB1LA_0LA1RC_0LA0RD_1RB1RD	6	0
1RB0LC_1RC1RD_1LA1RC_0RB0RD	6	0
1RB1LC_0RC0RD_1LA0LA_1LD1RA	6	0
1RB0LC_1LC0RD_1LA1LB_1RB0LC	6	0
1RB1LC_1RC1RB_1LA0RD_0LD1RC	6	0
1RB0RA_1LC1RA_1LD0LC_1RD1LB	6	0
1RB1LC_1RC---_0LD0RD_0LA1LD	6	0
1RB1RA_1LC1LB_0RA0LD_1RD1LC	6	0
1RB0LD_0RC0LA_1LD1RA_1LB1RD	6	0
1RB0LC_1LA1RB_0LD0LD_1RD0RB	6	0
1RB1LD_0RC0RC_1LC1RA_0RD0LA	6	0
1RB1RA_0LC0RB_0RA0LD_1LC1RD	6	0
1RB0LD_0RC1RB_1RD0RA_1LA0RC	6	0
1RB0RC_1RC0LD_0LD1LD_1RA1LC	6	0
1RB0LC_0LC1RA_1LA0RD_1RC---	6	0
1RB1LC_1LA1RB_1LA1RD_0LB0RC	6	0
1RB1RC_0LC1RA_1LA1LD_0RA0LC	6	0
1RB0LA_1LC0RB_1RD1LA_1LD1RC	6	0
1RB1LC_1RC0RA_0LD1RB_1LA1LB	6	0
1RB0LA_1LB1RC_1RD1LC_1LA0RD	6	0
1RB1LD_1RC0RB_1RD1RB_1LA0LD	6	0
1RB0LD_1LC0RA_1RD0LC_1LA1LB	6	0
1RB1LA_1RC0RC_1LC1LD_0RA0LA	6	0
1RB1RA_1LC1LB_0RA0LD_1LB1LC	6	0
1RB1LC_0LA1RB_1LA0RD_0LD1RC	6	0
