# spec	class	quietest_last_fire_in_1e8 (-1: EDGE/HALT)
0RA---_------_------_------	ED	-1
0RB---_0LA---_------_------	DN	99999998
0RB---_0LC---_0LA---_------	DN	99999997
0RB---_0LC---_0RA---_------	DN	99999997
0RB---_0LC---_0RB---_------	QH	0
0RB---_0LC---_1RA---_------	DN	99999997
0RB---_0LC0RA_0LD1LC_1RA1RB	DN	99999993
0RB---_0LC0RA_0LD1RA_1RB1LC	DN	99999983
0RB---_0LC0RC_0LD1RC_1RB1LD	QH	0
0RB---_0LC0RD_1RB1LC_0LC1RD	QH	0
0RB---_0LC1RB_0LD0RA_1RA1LC	DN	99999993
0RB---_0LC1RB_1LD0RB_1LA1LC	SP	50331595
0RB---_0LC1RB_1RD1LC_0LB0RB	QH	0
0RB---_0LC1RB_1RD1LC_0LC0RB	QH	0
0RB---_0LC1RB_1RD1LC_1LB0RB	QH	0
0RB---_0LC1RB_1RD1LC_1LC0RB	QH	0
0RB---_0LC1RB_1RD1LC_1RB0RB	QH	0
0RB---_0RA---_------_------	ED	-1
0RB---_0RC---_0LA---_------	DN	99999997
0RB---_0RC---_0LB---_------	QH	0
0RB---_0RC---_0RA---_------	ED	-1
0RB---_0RC---_1RA---_------	ED	-1
0RB---_0RC0LC_0RD1LC_1LB1RD	QH	0
0RB---_0RC0LD_1LB1RC_0RC1LD	QH	0
0RB---_0RC1LB_1LD1RC_0RB0LB	QH	0
0RB---_0RC1LB_1LD1RC_0RC0LB	QH	0
0RB---_0RC1LB_1LD1RC_1LB0LB	QH	0
0RB---_0RC1LB_1LD1RC_1RB0LB	QH	0
0RB---_0RC1LB_1LD1RC_1RC0LB	QH	0
0RB---_1LA0LA_------_------	DN	99999997
0RB---_1LA0LB_------_------	DN	99999997
0RB---_1LA0LC_0RD1LB_1LC1RD	SP	50331668
0RB---_1LA0RA_------_------	ED	-1
0RB---_1LA0RB_------_------	DN	99999997
0RB---_1LA1LA_------_------	QH	1
0RB---_1LA1LB_------_------	DN	99999997
0RB---_1LA1LC_0RD0LB_1LB1RD	SP	67108884
0RB---_1LA1RA_------_------	ED	-1
0RB---_1LA1RC_0LD0RB_1RB1LD	SP	67108884
0RB---_1LA1RC_1LD0RC_0LD1LA	QH	1
0RB---_1LC---_0LA---_------	DN	99999997
0RB---_1LC0LA_1RD1LB_0LC0RD	QH	8
0RB---_1LC0LC_0RD1LC_1LB1RD	QH	0
0RB---_1LC0RC_0LD0LA_1RA1LB	DN	99988017
0RB---_1LC0RC_0LD1RC_1RB1LD	QH	0
0RB---_1LC0RD_1LD1LB_1RB0LC	QH	0
0RB---_1LC0RD_1RB1LC_0LC1RD	QH	0
0RB---_1LC0RD_1RD0LB_1RB1RC	QH	0
0RB---_1LC1LB_1RD1LA_0LB0RD	DN	99999990
0RB---_1LC1LD_1RD0LB_1LB0RC	QH	0
0RB---_1LC1RA_0LD---_0RA0LC	DN	99999989
0RB---_1LC1RA_0LD1RB_1RD0LC	QH	4
0RB---_1LC1RB_0RB0LD_0RB1LD	QH	0
0RB---_1LC1RB_0RB1LD_0LA0LC	SP	50331620
0RB---_1LC1RB_0RD0LD_0RB1LD	QH	0
0RB---_1LC1RB_1LA1LD_0RB0LC	SP	67108835
0RB---_1LC1RB_1LD0LD_0RB1LD	QH	0
0RB---_1LC1RB_1RB0LD_0RB1LD	QH	0
0RB---_1LC1RB_1RD0LD_0RB1LD	QH	0
0RB---_1LC1RD_1LA1LB_0LB0RD	DN	99999990
0RB---_1RA---_------_------	ED	-1
0RB---_1RC---_0RA---_------	ED	-1
0RB---_1RC---_1LD0RC_0LD0LA	DN	99999990
0RB---_1RC---_1RA---_------	ED	-1
0RB---_1RC0LA_1LD0RC_0LD1LA	DN	99999986
0RB---_1RC0LC_0RD1LC_1LB1RD	QH	0
0RB---_1RC0LD_1LB1RC_0RC1LD	QH	0
0RB---_1RC0LD_1LD0RB_1LB1LC	QH	0
0RB---_1RC0LD_1RD1RB_1LB0RC	QH	0
0RB---_1RC0RB_1LD1RB_1LA0LD	DN	99999988
0RB---_1RC0RC_0LD1RC_1RB1LD	QH	0
0RB---_1RC1LB_0LB0RD_0LB1RD	QH	0
0RB---_1RC1LB_0LD0RD_0LB1RD	QH	0
0RB---_1RC1LB_1LB0RD_0LB1RD	QH	0
0RB---_1RC1LB_1LD0RD_0LB1RD	QH	0
0RB---_1RC1LB_1RD0RD_0LB1RD	QH	0
0RB---_1RC1LD_0LD0RC_1LB1LA	SP	67108807
0RB---_1RC1RC_1LD0RC_0LD1LA	QH	1
0RB---_1RC1RD_0LC1LA_1LC0RD	QH	1
0RB---_1RC1RD_1LD0RB_1RB0LC	QH	0
0RB0LA_0LC0RD_1LA1LC_1RB1LD	DN	99998973
0RB0LA_0LC0RD_1LA1LC_1RC1RD	DN	99999983
0RB0LA_0LC0RD_1LA1RD_1RC---	DN	99999978
0RB0LA_0LC1RD_0RD1LC_1LA1RB	DN	99999969
0RB0LA_0RC1LD_1LA1RD_1RC---	DN	99999991
0RB0LA_0RC1RB_0LD1RC_1LA1LD	DN	99999972
0RB0LA_0RC1RB_1LD---_1LA---	DN	99999991
0RB0LA_0RC1RC_1LD0LD_1LA1RB	DN	99999991
0RB0LA_0RC1RC_1LD1RB_1LA---	DN	99999991
0RB0LA_0RC1RC_1LD1RD_1LA1RB	DN	99999986
0RB0LA_0RC1RD_1LA1LC_0LC1RB	DN	99999979
0RB0LA_0RC1RD_1LD---_1LA1RB	DN	99999991
0RB0LA_1LA0LC_0RD1LC_1RB1RD	DN	99999987
0RB0LA_1LA0RC_0LD1RC_1RB1LD	DN	99999987
0RB0LA_1LA0RC_1LD---_1RD1RB	DN	99999990
0RB0LA_1LA0RC_1LD1RB_1RC---	DN	99999990
0RB0LA_1LA0RC_1LD1RB_1RD1RC	DN	99999973
0RB0LA_1LA1LC_0RD0LC_1RD1RB	DN	99999987
0RB0LA_1LA1LC_0RD1LB_1RB1RD	DN	99999968
0RB0LA_1LA1LC_0RD1LC_1RB1RD	DN	99999968
0RB0LA_1LA1LC_0RD1RD_1LB1RC	DN	99999989
0RB0LA_1LA1RC_0LC1RD_1RB---	DN	99999990
0RB0LA_1LA1RC_0LD---_1RB1RD	DN	99999990
0RB0LA_1LA1RC_0LD0RC_1LD1RB	DN	99999987
0RB0LA_1LA1RC_0LD1RB_0RC1LD	DN	99999982
0RB0LA_1LA1RC_0RD1RB_0LB1LB	DN	99999961
0RB0LA_1LA1RC_0RD1RB_1LB---	DN	99999976
0RB0LA_1LA1RC_0RD1RC_0LB1LB	DN	99999959
0RB0LA_1LA1RC_0RD1RC_1LB---	DN	99999977
0RB0LA_1LA1RC_0RD1RD_1LB0LB	DN	99999978
0RB0LA_1LA1RC_0RD1RD_1LB1RB	DN	99999982
0RB0LA_1LA1RC_0RD1RD_1LB1RC	DN	99999976
0RB0LA_1LA1RC_1LA1RD_1RB---	DN	99999990
0RB0LA_1LA1RC_1LA1RD_1RC---	DN	99999991
0RB0LA_1LA1RC_1LB1LD_0RC1RD	DN	99999984
0RB0LA_1LA1RC_1LB1RD_1RB---	DN	99999982
0RB0LA_1LA1RC_1LC1RD_---1RB	DN	99999990
0RB0LA_1LA1RC_1LD---_1RB1RD	DN	99999982
0RB0LA_1LA1RC_1LD1RB_0RB1LD	DN	99999988
0RB0LA_1LA1RC_1LD1RB_0RC1LD	DN	99999973
0RB0LA_1LA1RC_1LD1RD_1RB1LA	DN	99999987
0RB0LA_1LA1RC_1RB---_------	DN	99999992
0RB0LA_1LA1RC_1RD---_0LD1RB	DN	99999977
0RB0LA_1LA1RC_1RD---_1LA1RB	DN	99999983
0RB0LA_1LA1RC_1RD---_1LA1RC	DN	99999977
0RB0LA_1LA1RC_1RD---_1RB---	DN	99999990
0RB0LA_1LA1RC_1RD0RD_1LB1RB	DN	99999985
0RB0LA_1LA1RC_1RD1RB_1LB---	DN	99999982
0RB0LA_1LC---_0RD1LA_1RB1RD	DN	99999992
0RB0LA_1LC0LC_0RD1LA_1RD1RB	DN	99999989
0RB0LA_1LC0RA_1LD---_1RB0LC	DN	99999989
0RB0LA_1LC0RC_1LA1RD_0RB1RC	DN	99999989
0RB0LA_1LC0RC_1LA1RD_1RB1RC	DN	99999986
0RB0LA_1LC0RC_1LA1RD_1RC---	DN	99999989
0RB0LA_1LC0RC_1LD1RB_1LA0LD	DN	99999986
0RB0LA_1LC0RD_1LA0LB_1RC1RD	DN	99999983
0RB0LA_1LC0RD_1LA0LC_1RB1RD	DN	99999976
0RB0LA_1LC0RD_1LA1LB_1RC1RD	DN	99999991
0RB0LA_1LC0RD_1LA1LC_1RC1RD	DN	99999979
0RB0LA_1LC0RD_1LA1LD_1RB0LC	SP	83886049
0RB0LA_1LC0RD_1LA1RB_0LA1RC	SP	67108558
0RB0LA_1LC0RD_1LA1RB_1LB1RC	SP	67108871
0RB0LA_1LC0RD_1LA1RB_1LC1RC	SP	67108518
0RB0LA_1LC0RD_1LA1RB_1RA1RC	SP	67108787
0RB0LA_1LC0RD_1LA1RB_1RC1RC	SP	67108787
0RB0LA_1LC0RD_1LA1RB_1RC1RD	DN	99999991
0RB0LA_1LC0RD_1LA1RD_0LB1RC	DN	99999977
0RB0LA_1LC0RD_1LA1RD_0LD1RC	DN	99999989
0RB0LA_1LC0RD_1LA1RD_1LA1RC	DN	99999991
0RB0LA_1LC0RD_1LA1RD_1LB1RC	DN	99999990
0RB0LA_1LC0RD_1LD0LC_1RB1RA	DN	99999979
0RB0LA_1LC1LD_0RD1RC_1LA1RB	DN	99999985
0RB0LA_1LC1LD_1RD0RD_1LA0RC	DN	99989350
0RB0LA_1LC1RB_0LD1LA_1RA0RA	DN	99999977
0RB0LA_1LC1RB_0LD1LA_1RA0RC	DN	99999984
0RB0LA_1LC1RB_0LD1LA_1RD1RA	QH	4
0RB0LA_1LC1RB_0LD1LD_0RA0LA	DN	99999991
0RB0LA_1LC1RB_0RB1LD_0RA1LA	DN	99999964
0RB0LA_1LC1RB_0RB1LD_0RB1LA	DN	99999984
0RB0LA_1LC1RB_0RB1LD_0RD1LA	DN	99999982
0RB0LA_1LC1RB_0RD0LC_1RD1LA	DN	99999987
0RB0LA_1LC1RB_0RD1LD_0RA1LA	DN	99999976
0RB0LA_1LC1RB_0RD1LD_0RB1LA	DN	99999985
0RB0LA_1LC1RB_0RD1LD_0RD1LA	DN	99999980
0RB0LA_1LC1RB_1LA0RD_0RA1RC	DN	99984792
0RB0LA_1LC1RB_1LD0LD_1LA0RA	DN	99999972
0RB0LA_1LC1RC_1LA1RD_0LD0RC	DN	99976530
0RB0LA_1LC1RD_0LD1LA_0RD1RB	DN	99999986
0RB0LA_1LC1RD_0RB0LA_1RB---	DN	99999992
0RB0LA_1LC1RD_0RB0LD_1RB1LA	DN	99999987
0RB0LA_1LC1RD_0RB1LA_1RB0LA	DN	99999986
0RB0LA_1LC1RD_0RB1LA_1RB0LC	DN	99999970
0RB0LA_1LC1RD_0RB1LA_1RB1RC	DN	99999980
0RB0LA_1LC1RD_0RB1LC_1LA1RB	DN	99999968
0RB0LA_1LC1RD_0RC1LA_1RB0LA	DN	99999990
0RB0LA_1LC1RD_0RC1LA_1RB0LC	DN	99999986
0RB0LA_1LC1RD_0RC1LA_1RB1RC	DN	99999978
0RB0LA_1LC1RD_0RD0LC_1RB1LA	DN	99999683
0RB0LA_1LC1RD_0RD0LD_1RB1LA	DN	99999988
0RB0LA_1LC1RD_0RD1LA_---1RB	DN	99999977
0RB0LA_1LC1RD_0RD1LC_1LA1RB	DN	99999988
0RB0LA_1LC1RD_1LA0LA_0LB0RD	DN	99999977
0RB0LA_1LC1RD_1LA0LB_0LA0RC	SP	33562654
0RB0LA_1LC1RD_1LA0LB_0RB0RC	SP	33513539
0RB0LA_1LC1RD_1LA0LB_1LA0RC	SP	75509690
