# spec	subclass	growth_exp_1e6_1e8	live_density_1e8	quiet_pins_1e8	qc_result
0RB---_0LC---_0RB---_------	cycler	0.000	dense	A0@0	boarded
0RB---_0LC0RC_0LD1RC_1RB1LD	sweep_counter	0.331	dense	A0@0	-
0RB---_0LC0RD_1RB1LC_0LC1RD	sweep_counter	0.332	dense	A0@0	-
0RB---_0LC1RB_1RD1LC_0LB0RB	sweep_counter	0.332	dense	A0@0	-
0RB---_0LC1RB_1RD1LC_0LC0RB	sweep_counter	0.332	dense	A0@0	-
0RB---_0LC1RB_1RD1LC_1LB0RB	sweep_counter	0.333	dense	A0@0	-
0RB---_0LC1RB_1RD1LC_1LC0RB	sweep_counter	0.333	dense	A0@0	-
0RB---_0LC1RB_1RD1LC_1RB0RB	sweep_counter	0.333	dense	A0@0	-
0RB---_0RC0LC_0RD1LC_1LB1RD	sweep_counter	0.330	dense	A0@0	-
0RB---_0RC0LD_1LB1RC_0RC1LD	sweep_counter	0.331	dense	A0@0	-
0RB---_0RC1LB_1LD1RC_0RB0LB	sweep_counter	0.331	dense	A0@0	-
0RB---_0RC1LB_1LD1RC_0RC0LB	sweep_counter	0.331	dense	A0@0	-
0RB---_0RC1LB_1LD1RC_1LB0LB	sweep_counter	0.333	dense	A0@0	-
0RB---_0RC1LB_1LD1RC_1RB0LB	sweep_counter	0.333	dense	A0@0	-
0RB---_0RC1LB_1LD1RC_1RC0LB	sweep_counter	0.333	dense	A0@0	-
0RB---_1LA1LA_------_------	cycler	0.000	dense	B0@1	boarded
0RB---_1LA1RC_1LD0RC_0LD1LA	counter_new	0.057	dense	B0@1	boarded
0RB---_1LC0LA_1RD1LB_0LC0RD	counter_boxfail	0.062	dense	A0@9,B1@8	-
0RB---_1LC0LC_0RD1LC_1LB1RD	sweep_counter	0.332	dense	A0@0	-
0RB---_1LC0RC_0LD1RC_1RB1LD	sweep_counter	0.332	dense	A0@0	-
0RB---_1LC0RD_1LD1LB_1RB0LC	bouncer_hybrid	0.493	sparse	A0@0	-
0RB---_1LC0RD_1RB1LC_0LC1RD	sweep_counter	0.332	dense	A0@0	-
0RB---_1LC0RD_1RD0LB_1RB1RC	bouncer_hybrid	0.516	sparse	A0@0	-
0RB---_1LC1LD_1RD0LB_1LB0RC	bouncer_hybrid	0.486	sparse	A0@0	-
0RB---_1LC1RA_0LD1RB_1RD0LC	counter_new	0.061	dense	D0@4	boarded
0RB---_1LC1RB_0RB0LD_0RB1LD	sweep_counter	0.332	dense	A0@0	-
0RB---_1LC1RB_0RD0LD_0RB1LD	sweep_counter	0.332	dense	A0@0	-
0RB---_1LC1RB_1LD0LD_0RB1LD	sweep_counter	0.333	dense	A0@0	-
0RB---_1LC1RB_1RB0LD_0RB1LD	sweep_counter	0.333	dense	A0@0	-
0RB---_1LC1RB_1RD0LD_0RB1LD	sweep_counter	0.333	dense	A0@0	-
0RB---_1RC0LC_0RD1LC_1LB1RD	sweep_counter	0.332	dense	A0@0	-
0RB---_1RC0LD_1LB1RC_0RC1LD	sweep_counter	0.332	dense	A0@0	-
0RB---_1RC0LD_1LD0RB_1LB1LC	bouncer_hybrid	0.516	sparse	A0@0	-
0RB---_1RC0LD_1RD1RB_1LB0RC	bouncer_hybrid	0.493	sparse	A0@0	-
0RB---_1RC0RC_0LD1RC_1RB1LD	sweep_counter	0.332	dense	A0@0	-
0RB---_1RC1LB_0LB0RD_0LB1RD	sweep_counter	0.332	dense	A0@0	-
0RB---_1RC1LB_0LD0RD_0LB1RD	sweep_counter	0.332	dense	A0@0	-
0RB---_1RC1LB_1LB0RD_0LB1RD	sweep_counter	0.333	dense	A0@0	-
0RB---_1RC1LB_1LD0RD_0LB1RD	sweep_counter	0.333	dense	A0@0	-
0RB---_1RC1LB_1RD0RD_0LB1RD	sweep_counter	0.333	dense	A0@0	-
0RB---_1RC1RC_1LD0RC_0LD1LA	counter_new	0.057	dense	B0@1	boarded
0RB---_1RC1RD_0LC1LA_1LC0RD	counter_new	0.057	dense	B0@1	boarded
0RB---_1RC1RD_1LD0RB_1RB0LC	bouncer_hybrid	0.486	sparse	A0@0	-
0RB0LA_1LC1RB_0LD1LA_1RD1RA	counter_boxfail	0.064	dense	D0@4	-
0RB0LA_1RC0LD_1LD0RC_1LA0LA	counter_new	0.065	dense	D1@3	boarded
0RB0LA_1RC0LD_1LD0RC_1LA1LB	counter_new	0.065	dense	D1@3	boarded
0RB0LA_1RC0LD_1LD0RC_1LA1RC	counter_new	0.065	dense	D1@3	boarded
0RB0LA_1RC1LB_1LA1RD_0LB0RC	counter_new	0.073	sparse	A1@3	boarded
0RB0LB_0RC0LA_1LB1RD_1LA1RC	counter_boxfail	0.065	dense	A0@0	-
0RB0LB_0RC0LA_1LB1RD_1RC---	counter_new	0.061	dense	A0@0	boarded
0RB0LB_0RC0LA_1RD---_1LA1RC	counter_new	0.071	dense	A0@0	boarded
0RB0LB_0RC0LB_1RD---_1LA1RC	counter_new	0.071	dense	A0@0	boarded
0RB0LB_0RC1LA_1LB1RD_1LA1RC	counter_new	0.070	sparse	A0@0	boarded
0RB0LB_0RC1LA_1LB1RD_1LC1RC	counter_new	0.061	sparse	A0@0	boarded
0RB0LB_0RC1LA_1LB1RD_1RC0LA	counter_new	0.070	dense	A0@0	no interior chain
