machine,status,anchor,k0,meta_a,meta_b,kmin,nrules,qh,score
0RB0LA_0LC0RD_1LA1LB_1LC1RB,undecided,0,0,0,0,0,0,?,0
0RB0LA_0LC0RD_1LA1LC_1RB1LD,undecided,0,0,0,0,0,0,?,0
0RB0LA_0LC0RD_1LA1LC_1RC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_0LC0RD_1LA1LD_1LC1RB,undecided,0,0,0,0,0,0,?,0
0RB0LA_0LC0RD_1LA1RA_1LC1RB,undecided,0,0,0,0,0,0,?,0
0RB0LA_0LC0RD_1LA1RC_1LC1RB,undecided,0,0,0,0,0,0,?,0
0RB0LA_0LC1RD_1LA1LC_1RB0RA,irules,199983,3075,1,1,1,0,F,0
0RB0LA_0LC1RD_1LA1LC_1RB0RC,irules,199999,2499,1,1,1,0,F,0
0RB0LA_0RC0LD_1LB1RC_1LC0LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_0RC1RB_0LD1RC_1LA1LD,undecided,0,0,0,0,0,0,?,0
0RB0LA_0RC1RB_1RD1LC_1LA1LD,undecided,0,0,0,0,0,0,?,0
0RB0LA_0RC1RD_1LA1LC_0LC1RB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LA0RC_1RD1RC_1RB1LC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LA0RC_1RD1RC_1RB1RC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LA1RC_0RD1LD_1LB1RB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LA1RC_0RD1RB_0LB1LB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LA1RC_0RD1RB_1LC1LB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LA1RC_0RD1RB_1LD1RB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LA1RC_0RD1RC_0LB1LB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LA1RC_0RD1RC_1LC1LB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LA1RC_1LD0RC_1LB1RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LA1RC_1LD1RD_1RB1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LA1RC_1RD0RD_1LB1RB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LA1RC_1RD1RB_1LD0LC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LA1RC_1RD1RB_1LD1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LA1RC_1RD1RC_1LD1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC0RA_0RD0LD_1RD1RB,irules,199985,2040,1,1,1,3,F,0
0RB0LA_1LC0RC_1LD1RB_1LA0LD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC0RD_0LD0LA_1RA0LC,irules,197191,78,1,1,5,6,F,0
0RB0LA_1LC0RD_0LD0LB_1RA1RB,irules,198140,105,1,2,6,4,F,0
0RB0LA_1LC0RD_1LA0LA_1RB0LC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC0RD_1LA0LB_1RC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC0RD_1LA0LC_1RB0LC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC0RD_1LA0LC_1RB1RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC0RD_1LA0LD_1RC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC0RD_1LA1LB_1RB0LC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC0RD_1LA1LB_1RC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC0RD_1LA1LC_1RB0LC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC0RD_1LA1LC_1RC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC0RD_1LA1LD_1RB0LC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC0RD_1LA1LD_1RC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC0RD_1LA1RB_0LA1RC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC0RD_1LA1RB_1LB1RC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC0RD_1LA1RB_1LC1RC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC0RD_1LA1RB_1RA1RC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC0RD_1LA1RB_1RC1RC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC0RD_1LA1RB_1RC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC0RD_1LA1RC_1RC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC0RD_1LA1RD_0LB1RC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC0RD_1LA1RD_0LD1RC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC0RD_1LA1RD_0RB1RC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC0RD_1LA1RD_1LA1RC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC0RD_1LA1RD_1LB1RC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC0RD_1LA1RD_1LC1RC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC0RD_1LA1RD_1RB1RC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC0RD_1LA1RD_1RC1RC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC0RD_1LA1RD_1RC1RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC0RD_1LD0LC_1RB1RA,irules,198601,33,1,1,5,9,F,0
0RB0LA_1LC0RD_1LD1LB_1RB1RA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC0RD_1RB1LA_1LD1LC,irules,199970,1959,1,1,1,4,F,0
0RB0LA_1LC1LA_0RD1RC_1LD1RB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC1RA_0LD0LA_0RD1RB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC1RA_0LD1LC_0RD1RB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC1RB_0LD1LA_1RA0RA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC1RB_0LD1LA_1RA0RC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC1RB_0LD1LD_0RA0LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC1RB_0LD1LD_0RA0LC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC1RB_0LD1RD_1LA0RB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC1RB_0RB1LD_0RA1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC1RB_0RB1LD_0RB1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC1RB_0RB1LD_0RD1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC1RB_0RD1LD_0RA1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC1RB_0RD1LD_0RB1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC1RB_0RD1LD_0RD1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC1RB_1LA0RD_0RA1RC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC1RB_1LD0LD_1LA0RA,irules,198450,63,1,1,3,1,F,0
0RB0LA_1LC1RB_1LD0RD_1RC1RA,irules,199533,67,1,1,6,3,F,0
0RB0LA_1LC1RC_1LA0RD_1RA1RD,irules,194129,89,1,2,5,4,F,0
0RB0LA_1LC1RC_1LA1RD_0LD0RC,irules,196638,53,1,1,7,12,F,0
0RB0LA_1LC1RC_1LA1RD_0RC0RB,irules,199447,119,1,2,6,1,F,0
0RB0LA_1LC1RC_1LA1RD_0RC1RA,irules,197560,90,1,1,4,3,F,0
0RB0LA_1LC1RC_1LA1RD_1RB0RC,irules,199236,156,1,1,9,4,F,0
0RB0LA_1LC1RC_1LA1RD_1RB1RA,irules,199251,168,1,1,6,1,F,0
