machine	theorem	file	n	t	contexts
1RB---_0LC0RC_0LD1LC_1RA1LB	nqh_1RBXXX_0LC0RC_0LD1LC_1RA1LB	theories/Machines/Bulk/Bulk_001.v	2	0	58
1RB---_0LC1RC_1RA0RD_1LB1RD	nqh_1RBXXX_0LC1RC_1RA0RD_1LB1RD	theories/Machines/Bulk/Bulk_001.v	2	0	54
1RB---_0RC1LD_1RD0RA_0LB1RC	nqh_1RBXXX_0RC1LD_1RD0RA_0LB1RC	theories/Machines/Bulk/Bulk_001.v	2	0	49
1RB---_1LC0RA_1RD0LB_0LC1RC	nqh_1RBXXX_1LC0RA_1RD0LB_0LC1RC	theories/Machines/Bulk/Bulk_001.v	3	0	64
1RB---_1LC0RA_1RD0LB_0RA1RC	nqh_1RBXXX_1LC0RA_1RD0LB_0RA1RC	theories/Machines/Bulk/Bulk_001.v	3	0	60
1RB---_1LC0RA_1RD0LB_1RB1RC	nqh_1RBXXX_1LC0RA_1RD0LB_1RB1RC	theories/Machines/Bulk/Bulk_001.v	3	0	62
1RB---_1LC0RB_0LD0LB_0RA1LB	nqh_1RBXXX_1LC0RB_0LD0LB_0RA1LB	theories/Machines/Bulk/Bulk_001.v	2	0	43
1RB---_1LC0RB_0LD1LB_0RA0LC	nqh_1RBXXX_1LC0RB_0LD1LB_0RA0LC	theories/Machines/Bulk/Bulk_001.v	2	0	55
1RB---_1LC0RB_0LD1LC_1RA0LD	nqh_1RBXXX_1LC0RB_0LD1LC_1RA0LD	theories/Machines/Bulk/Bulk_001.v	2	0	67
1RB---_1LC0RC_0LD1LC_1RA1LB	nqh_1RBXXX_1LC0RC_0LD1LC_1RA1LB	theories/Machines/Bulk/Bulk_001.v	2	0	50
1RB---_1LC0RC_0LD1RC_1RA0RB	nqh_1RBXXX_1LC0RC_0LD1RC_1RA0RB	theories/Machines/Bulk/Bulk_001.v	2	0	52
1RB---_1RC1RA_1LD0RB_1RB0LC	nqh_1RBXXX_1RC1RA_1LD0RB_1RB0LC	theories/Machines/Bulk/Bulk_001.v	3	0	65
1RB0LA_0LB0RC_1LD0RD_1LA1LB	nqh_1RB0LA_0LB0RC_1LD0RD_1LA1LB	theories/Machines/Bulk/Bulk_001.v	10	0	2974
1RB0LA_0LC0RA_1LA1LD_1LC0LC	nqh_1RB0LA_0LC0RA_1LA1LD_1LC0LC	theories/Machines/Bulk/Bulk_001.v	2	0	84
1RB0LA_0LC0RA_1RC0RD_1LB1RD	nqh_1RB0LA_0LC0RA_1RC0RD_1LB1RD	theories/Machines/Bulk/Bulk_001.v	3	0	107
1RB0LA_0LC0RC_1RD1LA_1LA0RD	nqh_1RB0LA_0LC0RC_1RD1LA_1LA0RD	theories/Machines/Bulk/Bulk_001.v	2	0	84
1RB0LA_0LC0RD_1LC1LA_0RC0LA	nqh_1RB0LA_0LC0RD_1LC1LA_0RC0LA	theories/Machines/Bulk/Bulk_001.v	3	0	123
1RB0LA_0LC0RD_1LC1LA_0RC1LB	nqh_1RB0LA_0LC0RD_1LC1LA_0RC1LB	theories/Machines/Bulk/Bulk_001.v	3	0	225
1RB0LA_0LC1LC_1RD1LB_0RA0RB	nqh_1RB0LA_0LC1LC_1RD1LB_0RA0RB	theories/Machines/Bulk/Bulk_001.v	2	0	77
1RB0LA_0LC1LC_1RD1LB_0RA1RD	nqh_1RB0LA_0LC1LC_1RD1LB_0RA1RD	theories/Machines/Bulk/Bulk_001.v	2	0	69
1RB0LA_0LC1RB_1LA1RD_1LC0RD	nqh_1RB0LA_0LC1RB_1LA1RD_1LC0RD	theories/Machines/Bulk/Bulk_001.v	2	0	94
1RB0LA_0LC1RC_1LA1RD_1LC0RD	nqh_1RB0LA_0LC1RC_1LA1RD_1LC0RD	theories/Machines/Bulk/Bulk_001.v	2	0	92
1RB0LA_0LC1RD_1LD0RC_1LA0RB	nqh_1RB0LA_0LC1RD_1LD0RC_1LA0RB	theories/Machines/Bulk/Bulk_001.v	2	0	88
1RB0LA_0RC0LA_1LD1RD_1LA0RB	nqh_1RB0LA_0RC0LA_1LD1RD_1LA0RB	theories/Machines/Bulk/Bulk_001.v	2	0	76
1RB0LA_0RC0LD_1LD0RC_1LA1RA	nqh_1RB0LA_0RC0LD_1LD0RC_1LA1RA	theories/Machines/Bulk/Bulk_001.v	2	0	70
1RB0LA_0RC0LD_1LD1RD_1LA1RB	nqh_1RB0LA_0RC0LD_1LD1RD_1LA1RB	theories/Machines/Bulk/Bulk_001.v	2	0	54
1RB0LA_0RC0RA_0LD1RA_1LA---	nqh_1RB0LA_0RC0RA_0LD1RA_1LAXXX	theories/Machines/Bulk/Bulk_001.v	2	0	41
1RB0LA_0RC0RA_0LD1RA_1LD0LA	nqh_1RB0LA_0RC0RA_0LD1RA_1LD0LA	theories/Machines/Bulk/Bulk_001.v	2	0	41
1RB0LA_0RC0RA_0LD1RA_1RC1LA	nqh_1RB0LA_0RC0RA_0LD1RA_1RC1LA	theories/Machines/Bulk/Bulk_001.v	2	0	48
1RB0LA_0RC0RA_0LD1RC_1LA1RA	nqh_1RB0LA_0RC0RA_0LD1RC_1LA1RA	theories/Machines/Bulk/Bulk_001.v	2	0	48
1RB0LA_0RC0RA_1LC0LD_1RB1LD	nqh_1RB0LA_0RC0RA_1LC0LD_1RB1LD	theories/Machines/Bulk/Bulk_001.v	3	0	152
1RB0LA_0RC0RC_1LC1RD_1RB1LA	nqh_1RB0LA_0RC0RC_1LC1RD_1RB1LA	theories/Machines/Bulk/Bulk_001.v	2	0	59
1RB0LA_0RC0RC_1LD1RD_1LA1RB	nqh_1RB0LA_0RC0RC_1LD1RD_1LA1RB	theories/Machines/Bulk/Bulk_001.v	2	0	52
1RB0LA_0RC0RD_0LD1RA_1RC1LA	nqh_1RB0LA_0RC0RD_0LD1RA_1RC1LA	theories/Machines/Bulk/Bulk_001.v	2	0	62
1RB0LA_0RC0RD_1LA0RC_0LC1RA	nqh_1RB0LA_0RC0RD_1LA0RC_0LC1RA	theories/Machines/Bulk/Bulk_001.v	2	0	57
1RB0LA_0RC0RD_1LA1LC_1LB1RB	nqh_1RB0LA_0RC0RD_1LA1LC_1LB1RB	theories/Machines/Bulk/Bulk_001.v	4	0	453
1RB0LA_0RC0RD_1LA1RA_0LC0RC	nqh_1RB0LA_0RC0RD_1LA1RA_0LC0RC	theories/Machines/Bulk/Bulk_001.v	2	0	57
1RB0LA_0RC0RD_1LA1RA_0LC1LB	nqh_1RB0LA_0RC0RD_1LA1RA_0LC1LB	theories/Machines/Bulk/Bulk_001.v	2	0	47
1RB0LA_0RC0RD_1LA1RA_0LC1RA	nqh_1RB0LA_0RC0RD_1LA1RA_0LC1RA	theories/Machines/Bulk/Bulk_001.v	2	0	47
1RB0LA_0RC0RD_1LA1RA_0LC1RD	nqh_1RB0LA_0RC0RD_1LA1RA_0LC1RD	theories/Machines/Bulk/Bulk_001.v	2	0	52
1RB0LA_0RC0RD_1LA1RB_1LC1RC	nqh_1RB0LA_0RC0RD_1LA1RB_1LC1RC	theories/Machines/Bulk/Bulk_001.v	2	0	68
1RB0LA_0RC0RD_1LA1RD_1LC1RB	nqh_1RB0LA_0RC0RD_1LA1RD_1LC1RB	theories/Machines/Bulk/Bulk_001.v	2	0	70
1RB0LA_0RC1LA_0RD1RB_1LD1LA	nqh_1RB0LA_0RC1LA_0RD1RB_1LD1LA	theories/Machines/Bulk/Bulk_001.v	3	0	150
1RB0LA_0RC1LA_1LB1RD_1LB1RB	nqh_1RB0LA_0RC1LA_1LB1RD_1LB1RB	theories/Machines/Bulk/Bulk_001.v	2	0	60
1RB0LA_0RC1LA_1RD0LB_1LB1RB	nqh_1RB0LA_0RC1LA_1RD0LB_1LB1RB	theories/Machines/Bulk/Bulk_001.v	2	0	60
1RB0LA_0RC1LA_1RD0RA_0LB1RB	nqh_1RB0LA_0RC1LA_1RD0RA_0LB1RB	theories/Machines/Bulk/Bulk_001.v	2	0	48
1RB0LA_0RC1LA_1RD0RA_1LB0RA	nqh_1RB0LA_0RC1LA_1RD0RA_1LB0RA	theories/Machines/Bulk/Bulk_001.v	2	0	62
1RB0LA_0RC1LA_1RD1LC_1LB0RB	nqh_1RB0LA_0RC1LA_1RD1LC_1LB0RB	theories/Machines/Bulk/Bulk_001.v	2	0	84
1RB0LA_0RC1LA_1RD1RA_0LB1LA	nqh_1RB0LA_0RC1LA_1RD1RA_0LB1LA	theories/Machines/Bulk/Bulk_001.v	2	0	48
