machine	theorem	file	n	t	contexts
1RB0LA_0RC0RD_1LC1RD_1RB1LA	nqh_1RB0LA_0RC0RD_1LC1RD_1RB1LA	theories/Machines/Bulk/Bulk_R01.v	2	0	75
1RB0LA_0RC1LA_1RD1RB_1LB1RB	nqh_1RB0LA_0RC1LA_1RD1RB_1LB1RB	theories/Machines/Bulk/Bulk_R01.v	2	0	64
1RB0LA_0RC1RB_0RD1RC_1LD1LA	nqh_1RB0LA_0RC1RB_0RD1RC_1LD1LA	theories/Machines/Bulk/Bulk_R01.v	3	0	183
1RB0LB_0RC1LD_1LD0RA_0LA0LD	nqh_1RB0LB_0RC1LD_1LD0RA_0LA0LD	theories/Machines/Bulk/Bulk_R01.v	2	0	81
1RB0LB_1RC0RB_0LD0RB_0LA1LD	nqh_1RB0LB_1RC0RB_0LD0RB_0LA1LD	theories/Machines/Bulk/Bulk_R01.v	2	0	74
1RB0LC_0RC0RB_1LD0RD_0LA1RB	nqh_1RB0LC_0RC0RB_1LD0RD_0LA1RB	theories/Machines/Bulk/Bulk_R01.v	2	0	81
1RB0LC_1LC0RA_0RD1LD_1LA0LA	nqh_1RB0LC_1LC0RA_0RD1LD_1LA0LA	theories/Machines/Bulk/Bulk_R01.v	2	0	80
1RB0LC_1LC0RA_1LA1LB_------	nqh_1RB0LC_1LC0RA_1LA1LB_XXXXXX	theories/Machines/Bulk/Bulk_R01.v	2	0	67
1RB0LC_1RC1RA_1LA0RB_------	nqh_1RB0LC_1RC1RA_1LA0RB_XXXXXX	theories/Machines/Bulk/Bulk_R01.v	2	0	69
1RB0LD_0LC1RC_1RD0RD_1LA0RB	nqh_1RB0LD_0LC1RC_1RD0RD_1LA0RB	theories/Machines/Bulk/Bulk_R01.v	2	0	85
1RB0RB_1LC0RD_1RD0LB_0LA1RA	nqh_1RB0RB_1LC0RD_1RD0LB_0LA1RA	theories/Machines/Bulk/Bulk_R01.v	2	0	79
1RB0RC_1RC0RA_1LD0LD_1LA1LD	nqh_1RB0RC_1RC0RA_1LD0LD_1LA1LD	theories/Machines/Bulk/Bulk_R01.v	2	0	79
1RB0RD_1LC0LC_1LD1LC_1RA0RB	nqh_1RB0RD_1LC0LC_1LD1LC_1RA0RB	theories/Machines/Bulk/Bulk_R01.v	2	0	81
1RB1LA_0RC0RC_1LC0LA_------	nqh_1RB1LA_0RC0RC_1LC0LA_XXXXXX	theories/Machines/Bulk/Bulk_R01.v	2	0	44
1RB1LB_0LC1RD_1LA1LB_1LB0RD	nqh_1RB1LB_0LC1RD_1LA1LB_1LB0RD	theories/Machines/Bulk/Bulk_R01.v	2	0	69
1RB1LB_0RC1LB_1LC0LA_------	nqh_1RB1LB_0RC1LB_1LC0LA_XXXXXX	theories/Machines/Bulk/Bulk_R01.v	2	0	43
1RB1LD_0RC0RA_1LC1RA_1RB0LD	nqh_1RB1LD_0RC0RA_1LC1RA_1RB0LD	theories/Machines/Bulk/Bulk_R01.v	2	0	76
1RB1RA_1LC0LD_1LD0LB_1RA0RA	nqh_1RB1RA_1LC0LD_1LD0LB_1RA0RA	theories/Machines/Bulk/Bulk_R01.v	2	0	78
1RB1RC_1LC0RA_1RA0LB_------	nqh_1RB1RC_1LC0RA_1RA0LB_XXXXXX	theories/Machines/Bulk/Bulk_R01.v	2	0	66
1RB1RC_1LC1RC_0RA1LD_1RC0LD	nqh_1RB1RC_1LC1RC_0RA1LD_1RC0LD	theories/Machines/Bulk/Bulk_R01.v	2	0	65
