machine	interior	overflow	alphabet	blocker
0RB---_1LC1RB_0RB1LD_1LA0LC	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB---_1RC1LD_0LD0RC_1LB1LA	AFFINE	AFFINE	Alph_00_01_1	no inner family at pow2 j
0RB0LA_0LC1RD_0RD1LC_1LA1RB	PARITY-AFFINE	PARITY-AFFINE	Kp	no interior chain
0RB0LA_1LA0LC_0RD1LC_1RB1RD	QUAD	QUAD	Kp	no interior chain
0RB0LA_1LA0RC_0LD1RC_1RB1LD	QUAD	QUAD	Kp	no interior chain
0RB0LA_1LA1LC_0RD0LC_1RD1RB	QUAD	QUAD	Kp	no interior chain
0RB0LA_1LA1RC_0LD0RC_1LD1RB	QUAD	QUAD	Kp	no interior chain
0RB0LA_1LA1RC_0LD1RB_0RC1LD	PARITY-AFFINE	PARITY-AFFINE	Kp	no interior chain
0RB0LA_1LA1RC_0RD1RD_1LB0LB	EXP4	EXP4	Dp	no interior chain
0RB0LA_1LA1RC_1LD1RB_0RB1LD	QUAD	QUAD	Alph_00_10_1	no interior chain
0RB0LA_1LA1RC_1LD1RB_0RC1LD	QUAD	QUAD	Bp	no interior chain
0RB0LA_1LC1RD_0RB1LC_1LA1RB	QUAD	QUAD	Bp	no interior chain
0RB0LA_1LC1RD_0RD0LC_1RB1LA	AFFINE	HIGHER	Alph_00_01_1	no boot chain
0RB0LA_1LC1RD_0RD1LC_1LA1RB	QUAD	QUAD	Bp	no interior chain
0RB0LA_1RC1LA_1LD1RB_0RC0LD	AFFINE	HIGHER	Alph_00_01_1	no inner interior chain
0RB0LA_1RC1LA_1RD0RD_1LB0LB	EXP4	EXP4	Dp	no interior chain
0RB0LA_1RC1LB_1LA0RD_0LB1RD	QUAD	QUAD	Kp	no interior chain
0RB0LA_1RC1RB_1LA0LD_0RB1LD	QUAD	QUAD	Kp	no interior chain
0RB0LB_1LC1RD_0RD0LC_1RB1LA	AFFINE	HIGHER	Alph_00_01_1	no inner family at pow2 j
0RB0LC_1LA1RB_0RD0LA_1RD1LC	PARITY-AFFINE	PARITY-AFFINE	Kp	no interior chain
0RB0LC_1LA1RC_1RB0LD_0RB1LD	AFFINE	EXP2	Jp	no inner family at pow2 j
0RB0LC_1LC1LB_0RD1LA_1LC1RD	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB0LC_1LC1RB_0LD1LA_1RA0RC	AFFINE	EXP2	Alph_01_11_011	no interior chain
0RB0LC_1LC1RB_0RD0LA_1RD1LA	PARITY-AFFINE	PARITY-AFFINE	Kp	no interior chain
0RB0LC_1LC1RB_0RD1LA_1LB1LA	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_0RD1LA_1LB1RB	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_0RD1LA_1LB1RD	AFFINE	EXP2	Alph_10_11_11	no inner family at pow2 j
0RB0LC_1LC1RB_0RD1LA_1RD1RB	AFFINE	EXP2	Alph_10_11_11	no inner interior chain
0RB0LC_1LC1RB_1LD1LA_0RD1RA	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1LD1LA_1RD0RC	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_0LD1LB	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LB0LA	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LB0LB	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LB0LC	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LB0RC	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LB1LB	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LB1LC	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LB1RB	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LB1RC	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LC0LA	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LC0LB	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LC0LC	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LC0RC	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LC1LA	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LC1LB	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LC1LC	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LC1RB	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LC1RC	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LC1RD	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LD1LA	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LD1LB	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1LD1RB	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1RB0LA	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1RB0LB	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1RB0LC	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1RB0LD	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1RB0RC	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1RB0RD	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1RB1LB	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1RB1LC	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1RB1RB	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1RB1RC	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1RD1LB	-	no-anchor	-	no overflow phase at K=6
0RB0LC_1LC1RB_1RD1LA_1RD1RB	-	no-anchor	-	no overflow phase at K=6
0RB0LD_0RC1LB_1LA1RD_1RC0LB	AFFINE	EXP2	Jp	no inner family at pow2 j
0RB0LD_1LA1LC_0LD0LC_1RD1RB	-	no-anchor	-	no anchor
0RB0LD_1LC1RD_0RD0LC_1RB1LA	AFFINE	AFFINE	Alph_00_01_1	no inner family at pow2 j
0RB0LD_1RC1LB_1LD1RC_0RC1LA	AFFINE	EXP2	Mp	no inner family at pow2 j
0RB0LD_1RC1RB_1LD1RC_0RC1LA	AFFINE	EXP2	Alph_01_11_011	no boot chain
