machine	qstar	prefix	partner	ops
0RB0LA_1LC1RD_0RD0LC_1RB1LA	B	1	1RB1LC_0LC0RB_1LA1RD_0LA0RD	swap:B:C,swap:C:D,mirror
0RB0LA_1RC1LA_1LD1RB_0RC0LD	B	1	1RB1LD_1LC1RA_0RB0LC_0RA0LD	swap:B:C,swap:C:D
0RB0LA_1RC1LB_1LA0RD_0LB1RD	B	1	1RB1LA_1LC0RD_0RA0LC_0LA1RD	swap:B:C
0RB0RA_0LC0LD_1RB1LC_1LD1RA	C	2	1RB1LA_0LA0LC_1LC1RD_0RB0RD	swap:C:D
0RB0RA_1RC1LD_1LC1RB_0LD0LA	B	1	1RB1LC_1LB1RA_0LC0LD_0RA0RD	swap:B:C,swap:C:D
0RB0RA_1RC1LD_1LD1RB_0LD0LA	B	1	1RB1LC_1LC1RA_0LC0LD_0RA0RD	swap:B:C,swap:C:D
0RB0RC_1LA1RB_1RC1LD_0LA0LD	B	1	1RB1LA_0LA0LC_1LC1RD_0RB0RD	mirror
0RB1LA_1LC1RB_1RD0LA_0LB0RD	B	1	1RB1LA_1LC0RD_0RA0LC_0LA1RD	swap:B:C,swap:C:D,mirror
0RB1LC_1LA1RB_0RD0LC_1RD0LA	B	1	1RB1LA_0LA1RC_0LD0RC_1LD0RB	mirror
0RB1LC_1LC0LC_0RD1LA_1RD1RB	B	1	1RB0RB_0LC1RD_1LC1LA_0LA1RB	swap:B:C,swap:C:D,mirror
