# spec	rung	verdict	seconds  (tools/closeouttr/ng_batch.py probe)
0RB---_0LC0RA_0LD1LC_1RA1RB	rk:4:0	false	1.5
0RB---_0LC0RA_0LD1LC_1RA1RB	rk:5:0	false	0.8
0RB---_0LC0RA_0LD1LC_1RA1RB	rk:6:0	false	1.2
0RB---_0LC0RA_0LD1RA_1RB1LC	rk:4:0	false	1.6
0RB---_0LC0RA_0LD1RA_1RB1LC	rk:5:0	false	0.8
0RB---_0LC0RA_0LD1RA_1RB1LC	rk:6:0	false	0.9
0RB---_0LC1RB_0LD0RA_1RA1LC	rk:4:0	false	1.0
0RB---_0LC1RB_0LD0RA_1RA1LC	rk:5:0	false	0.7
0RB---_0LC1RB_0LD0RA_1RA1LC	rk:6:0	false	0.9
0RB---_1LC1LB_1RD1LA_0LB0RD	rk:4:0	false	1.2
0RB---_1LC1LB_1RD1LA_0LB0RD	rk:5:0	false	0.7
0RB---_1LC1LB_1RD1LA_0LB0RD	rk:6:0	false	0.9
0RB---_1LC1RA_0LD---_0RA0LC	rk:4:0	false	1.2
0RB---_1LC1RA_0LD---_0RA0LC	rk:5:0	false	0.8
0RB---_1LC1RA_0LD---_0RA0LC	rk:6:0	false	0.8
0RB---_1LC1RD_1LA1LB_0LB0RD	rk:4:0	false	1.1
0RB---_1LC1RD_1LA1LB_0LB0RD	rk:5:0	false	0.7
0RB---_1LC1RD_1LA1LB_0LB0RD	rk:6:0	false	0.7
0RB---_1RC---_1LD0RC_0LD0LA	rk:4:0	false	1.7
0RB---_1RC---_1LD0RC_0LD0LA	rk:5:0	false	1.6
0RB---_1RC---_1LD0RC_0LD0LA	rk:6:0	false	4.3
0RB---_1RC0LA_1LD0RC_0LD1LA	rk:4:0	false	1.8
0RB---_1RC0LA_1LD0RC_0LD1LA	rk:5:0	false	2.1
0RB---_1RC0LA_1LD0RC_0LD1LA	rk:6:0	false	6.2
0RB---_1RC0RB_1LD1RB_1LA0LD	rk:4:0	false	1.0
0RB---_1RC0RB_1LD1RB_1LA0LD	rk:5:0	false	0.8
0RB---_1RC0RB_1LD1RB_1LA0LD	rk:6:0	false	1.2
0RB0LA_0LC0RD_1LA1LC_1RB1LD	rk:4:0	false	2.5
0RB0LA_0LC0RD_1LA1LC_1RB1LD	rk:5:0	false	2.7
0RB0LA_0LC0RD_1LA1LC_1RB1LD	rk:6:0	false	6.6
0RB0LA_0LC0RD_1LA1LC_1RC1RD	rk:4:0	false	2.6
0RB0LA_0LC0RD_1LA1LC_1RC1RD	rk:5:0	false	4.5
0RB0LA_0LC0RD_1LA1LC_1RC1RD	rk:6:0	false	15.7
0RB0LA_0LC0RD_1LA1RD_1RC---	rk:4:0	false	1.1
0RB0LA_0LC0RD_1LA1RD_1RC---	rk:5:0	false	0.8
0RB0LA_0LC0RD_1LA1RD_1RC---	rk:6:0	false	0.9
0RB0LA_0LC1RD_0RD1LC_1LA1RB	rk:4:0	false	2.5
0RB0LA_0LC1RD_0RD1LC_1LA1RB	rk:5:0	false	9.2
0RB0LA_0LC1RD_0RD1LC_1LA1RB	rk:6:0	false	28.9
0RB0LA_0RC1LD_1LA1RD_1RC---	rk:4:0	false	0.8
0RB0LA_0RC1LD_1LA1RD_1RC---	rk:5:0	false	0.7
0RB0LA_0RC1LD_1LA1RD_1RC---	rk:6:0	false	0.8
0RB0LA_0RC1RB_0LD1RC_1LA1LD	rk:4:0	false	11.4
0RB0LA_0RC1RB_0LD1RC_1LA1LD	rk:5:0	false	97.0
0RB0LA_0RC1RB_0LD1RC_1LA1LD	rk:6:0	timeout	300.1
0RB0LA_0RC1RB_1LD---_1LA---	rk:4:0	false	0.6
0RB0LA_0RC1RB_1LD---_1LA---	rk:5:0	false	0.8
0RB0LA_0RC1RB_1LD---_1LA---	rk:6:0	false	0.8
0RB0LA_0RC1RC_1LD0LD_1LA1RB	rk:4:0	false	1.6
0RB0LA_0RC1RC_1LD0LD_1LA1RB	rk:5:0	false	4.7
0RB0LA_0RC1RC_1LD0LD_1LA1RB	rk:6:0	false	19.1
0RB0LA_0RC1RC_1LD1RB_1LA---	rk:4:0	false	0.7
0RB0LA_0RC1RC_1LD1RB_1LA---	rk:5:0	false	0.8
0RB0LA_0RC1RC_1LD1RB_1LA---	rk:6:0	false	0.7
0RB0LA_0RC1RC_1LD1RD_1LA1RB	rk:4:0	false	9.4
0RB0LA_0RC1RC_1LD1RD_1LA1RB	rk:5:0	false	59.3
0RB0LA_0RC1RC_1LD1RD_1LA1RB	rk:6:0	timeout	300.1
0RB0LA_0RC1RD_1LA1LC_0LC1RB	rk:4:0	false	3.0
0RB0LA_0RC1RD_1LA1LC_0LC1RB	rk:5:0	false	9.3
0RB0LA_0RC1RD_1LA1LC_0LC1RB	rk:6:0	false	41.9
0RB0LA_0RC1RD_1LD---_1LA1RB	rk:4:0	false	0.7
0RB0LA_0RC1RD_1LD---_1LA1RB	rk:5:0	false	0.7
0RB0LA_0RC1RD_1LD---_1LA1RB	rk:6:0	false	0.8
0RB0LA_1LA0LC_0RD1LC_1RB1RD	rk:4:0	false	2.8
0RB0LA_1LA0LC_0RD1LC_1RB1RD	rk:5:0	false	9.0
0RB0LA_1LA0LC_0RD1LC_1RB1RD	rk:6:0	false	36.1
0RB0LA_1LA0RC_0LD1RC_1RB1LD	rk:4:0	false	11.7
0RB0LA_1LA0RC_0LD1RC_1RB1LD	rk:5:0	false	104.2
0RB0LA_1LA0RC_0LD1RC_1RB1LD	rk:6:0	timeout	300.1
0RB0LA_1LA0RC_1LD---_1RD1RB	rk:4:0	false	0.7
0RB0LA_1LA0RC_1LD---_1RD1RB	rk:5:0	false	0.8
