# spec	rung	verdict	seconds  (tools/closeouttr/ng_batch.py probe)
0RB0LA_1LA1LC_0RD1RD_1LB1RC	ng:4:0	false	1.1
0RB0LA_1LA1LC_0RD1RD_1LB1RC	ng:5:0	false	1.3
0RB0LA_1LA1LC_0RD1RD_1LB1RC	ng:6:0	false	1.3
0RB0LA_1LA1LC_0RD1RD_1LB1RC	rk:4:0	false	4.4
0RB0LA_1LA1LC_0RD1RD_1LB1RC	rk:4:1024	false	4.1
0RB0LA_1LA1LC_0RD1RD_1LB1RC	rk:4:64	false	6.3
0RB0LA_1LA1LC_0RD1RD_1LB1RC	rk:5:0	false	13.5
0RB0LA_1LA1LC_0RD1RD_1LB1RC	rk:5:64	false	13.7
0RB0LA_1LA1LC_0RD1RD_1LB1RC	rk:6:0	false	46.7
0RB0LA_1LA1LC_0RD1RD_1LB1RC	rk:7:0	false	164.5
0RB0LA_1LC0RD_1LA1RD_0LB1RC	ng:4:0	false	1.1
0RB0LA_1LC0RD_1LA1RD_0LB1RC	ng:5:0	false	1.3
0RB0LA_1LC0RD_1LA1RD_0LB1RC	ng:6:0	false	1.8
0RB0LA_1LC0RD_1LA1RD_0LB1RC	rk:4:0	true	1.2
0RB0LA_1LC0RD_1LA1RD_0LB1RC	rk:4:1024	true	1.2
0RB0LA_1LC0RD_1LA1RD_0LB1RC	rk:4:64	true	3.1
0RB0LA_1LC0RD_1LA1RD_0LB1RC	rk:5:0	true	2.4
0RB0LA_1LC0RD_1LA1RD_0LB1RC	rk:5:64	true	2.3
0RB0LA_1LC0RD_1LA1RD_0LB1RC	rk:6:0	true	7.3
0RB0LA_1LC0RD_1LA1RD_0LB1RC	rk:7:0	true	29.0
0RB0LA_1RC---_1LA1LD_1RB1RD	ng:4:0	false	0.8
0RB0LA_1RC---_1LA1LD_1RB1RD	ng:5:0	false	1.2
0RB0LA_1RC---_1LA1LD_1RB1RD	ng:6:0	false	0.9
0RB0LA_1RC---_1LA1LD_1RB1RD	rk:4:0	false	0.6
0RB0LA_1RC---_1LA1LD_1RB1RD	rk:4:1024	false	0.7
0RB0LA_1RC---_1LA1LD_1RB1RD	rk:4:64	false	0.7
0RB0LA_1RC---_1LA1LD_1RB1RD	rk:5:0	false	0.7
0RB0LA_1RC---_1LA1LD_1RB1RD	rk:5:64	false	0.7
0RB0LA_1RC---_1LA1LD_1RB1RD	rk:6:0	false	0.8
0RB0LA_1RC---_1LA1LD_1RB1RD	rk:7:0	false	1.0
0RB0LA_1RC1LA_0RD0RD_1LD1LB	ng:4:0	false	1.0
0RB0LA_1RC1LA_0RD0RD_1LD1LB	ng:5:0	false	1.1
0RB0LA_1RC1LA_0RD0RD_1LD1LB	ng:6:0	false	0.9
0RB0LA_1RC1LA_0RD0RD_1LD1LB	rk:4:0	false	1.5
0RB0LA_1RC1LA_0RD0RD_1LD1LB	rk:4:1024	false	1.5
0RB0LA_1RC1LA_0RD0RD_1LD1LB	rk:4:64	false	1.7
0RB0LA_1RC1LA_0RD0RD_1LD1LB	rk:5:0	true	1.0
0RB0LA_1RC1LA_0RD0RD_1LD1LB	rk:5:64	true	1.0
0RB0LA_1RC1LA_0RD0RD_1LD1LB	rk:6:0	true	1.4
0RB0LA_1RC1LA_0RD0RD_1LD1LB	rk:7:0	true	2.1
0RB0LA_1RC1LD_0RD0RD_1LA0LB	ng:4:0	false	0.8
0RB0LA_1RC1LD_0RD0RD_1LA0LB	ng:5:0	false	2.0
0RB0LA_1RC1LD_0RD0RD_1LA0LB	ng:6:0	false	1.2
0RB0LA_1RC1LD_0RD0RD_1LA0LB	rk:4:0	true	1.1
0RB0LA_1RC1LD_0RD0RD_1LA0LB	rk:4:1024	true	1.0
0RB0LA_1RC1LD_0RD0RD_1LA0LB	rk:4:64	true	0.9
0RB0LA_1RC1LD_0RD0RD_1LA0LB	rk:5:0	true	1.3
0RB0LA_1RC1LD_0RD0RD_1LA0LB	rk:5:64	true	1.3
0RB0LA_1RC1LD_0RD0RD_1LA0LB	rk:6:0	true	2.4
0RB0LA_1RC1LD_0RD0RD_1LA0LB	rk:7:0	true	5.6
0RB0LA_1RC1RD_1LD---_1LA1RB	ng:4:0	false	0.7
0RB0LA_1RC1RD_1LD---_1LA1RB	ng:5:0	false	1.9
0RB0LA_1RC1RD_1LD---_1LA1RB	ng:6:0	false	0.8
0RB0LA_1RC1RD_1LD---_1LA1RB	rk:4:0	false	0.8
