machine	verdict	wall	k	off	dpos	inv	anchor_state	late_unit	late_first
0RB---_0LC1RB_1LA1LD_1LC0RB	SEP2i	R	2	1	1	True	B	15	3008
0RB---_0LC1RB_1LD0RB_1LA1LC	SEP2	R	2	1	0	False	B	15	1086
0RB---_0RC0LD_1LD1RC_0LA1LB	SEP2	L	2	2	0	False	A	15	960
0RB---_0RC1LD_1LB1RC_0LA0LB	SEP2	L	2	2	1	False	A	15	3008
0RB---_1LA0LC_0RD1LB_1LC1RD	SEP2	L	2	1	0	False	C	15	807
0RB---_1LA1LC_0LD0LC_1RD1LB	SEP2_EARLY_ONLY	L	2	0	1	False	D	None	
0RB---_1LA1LC_0RC1LD_1RC0LD	KCOPY1	R	1	1	None	False	C	15	3006
0RB---_1LA1LC_0RD0LB_1LB1RD	SEP2	L	2	1	1	False	C	15	2855
0RB---_1LA1LC_1RD0LC_0RD1LC	KCOPY1	R	1	1	None	False	D	15	3007
0RB---_1LA1RC_0LC1RD_1LC0RD	KCOPY1	L	1	1	None	False	C	15	3006
0RB---_1LA1RC_0LD0RB_1RB1LD	SEP2	R	2	1	1	False	C	15	2856
0RB---_1LA1RC_0RD0RC_1LD1RB	SEP2_EARLY_ONLY	R	2	0	1	False	D	None	
0RB---_1LA1RC_1LD0RC_0LD0LA	KCOPY1	L	1	1	None	False	A	15	3008
0RB---_1LA1RC_1LD0RC_0LD1LA	KCOPY1	L	1	2	None	False	A	15	3007
0RB---_1LA1RC_1LD0RC_0LD1RC	KCOPY1	L	1	1	None	False	D	15	3007
0RB---_1LC---_0RC1LD_1RC0LD	KCOPY1	R	1	1	None	False	C	15	3007
0RB---_1LC---_1RD0LC_0RD1LC	KCOPY1	R	1	1	None	False	D	15	3008
0RB---_1LC0LC_1RC1RD_1LB0RB	SEP3	R	3	0	0	False	C	6	948568795032094272909893509191171341133987714380927500611236528192824358010355710
0RB---_1LC1RB_0RB1LD_0LA0LC	SEP2	L	2	1	0	False	C	15	808
0RB---_1LC1RB_0RB1LD_1LA0LC	SEP2	L	2	1	0	False	C	15	809
0RB---_1LC1RB_1LA1LD_0RB0LC	SEP2	L	2	1	1	False	D	15	2856
0RB---_1RC---_0LC1RD_1LC0RD	KCOPY1	L	1	1	None	False	C	15	3007
0RB---_1RC---_1LD0RC_0LD0LA	KCOPY1	L	1	2	None	False	A	15	3008
0RB---_1RC---_1LD0RC_0LD1RC	KCOPY1	L	1	1	None	False	D	15	3008
0RB---_1RC0LA_1LD0RC_0LD1LA	KCOPY1	L	1	2	None	False	A	8	1504
0RB---_1RC0RC_1LC1LD_1RB0LB	SEP3	L	3	0	0	False	C	6	948568795032094272909893509191171341133987714380927500611236528192824358010355710
0RB---_1RC1RC_1LD0RC_0LD1LA	KCOPY1	L	1	2	None	False	A	15	3008
0RB---_1RC1RD_0LC1LA_1LC0RD	KCOPY1	L	1	2	None	False	A	15	3007
0RB0LA_0LC1RD_0RD1LC_1LA1RB	KCOPY1	L	1	1	None	False	A	15	1808
0RB0LA_0RC1LD_1LB1RC_1RA0LB	SEP2	L	2	3	0	False	A	15	960
0RB0LA_1LA0LC_0RD1LC_1RB1RD	KCOPY1	L	1	1	None	False	A	15	1512
0RB0LA_1LA0RC_0LD1RC_1RB1LD	KCOPY1	L	1	1	None	False	A	15	3008
0RB0LA_1LA1LC_0RD0LC_1RD1RB	KCOPY1	L	1	1	None	False	A	15	1512
0RB0LA_1LA1RC_0LD0RC_1LD1RB	KCOPY1	L	1	1	None	False	A	15	3008
0RB0LA_1LA1RC_0LD1RB_0RC1LD	KCOPY1	L	1	1	None	False	A	15	2258
