machine	enc	nphase	nsteps	shape_rank	signature
0RB1LC_1RC1LB_1LA0RD_0LC1RD	Jp	4	20	1	-CC|+CD|-DC|+CD
1RB0RB_1LA1LC_1LB0RD_0LC1RD	Jp	4	20	1	-CC|+CD|-DC|+CD
1RB0RC_1LA1LC_1LB0RD_0LC1RD	Jp	4	20	1	-CC|+CD|-DC|+CD
1RB1LA_1LA1LC_1LB0RD_0LC1RD	Jp	4	20	1	-CC|+CD|-DC|+CD
1RB1LB_1LA1LC_1LB0RD_0LC1RD	Jp	4	20	1	-CC|+CD|-DC|+CD
1RB1LC_0LA0RD_1LA0RD_0LC1RD	Jp	4	20	1	-CC|+CD|-DC|+CD
1RB1LC_0LA1LD_1LA0RD_0LC1RD	Jp	4	20	1	-CC|+CD|-DC|+CD
1RB1LC_0LA1RD_1LA0RD_0LC1RD	Jp	4	20	1	-CC|+CD|-DC|+CD
1RB1LC_0LC0RD_1LA0RD_0LC1RD	Jp	4	20	1	-CC|+CD|-DC|+CD
1RB1LC_0LC1LD_1LA0RD_0LC1RD	Jp	4	20	1	-CC|+CD|-DC|+CD
1RB1LC_0LC1RA_1LA0RD_0LC1RD	Jp	4	20	1	-CC|+CD|-DC|+CD
1RB1LC_0LC1RB_1LA0RD_0LC1RD	Jp	4	20	1	-CC|+CD|-DC|+CD
1RB1LC_0LC1RD_1LA0RD_0LC1RD	Jp	4	20	1	-CC|+CD|-DC|+CD
1RB1LC_0RC0RD_1LA0RD_0LC1RD	Jp	4	20	1	-CC|+CD|-DC|+CD
1RB1LC_0RC1LD_1LA0RD_0LC1RD	Jp	4	20	1	-CC|+CD|-DC|+CD
1RB1LC_0RC1RD_1LA0RD_0LC1RD	Jp	4	20	1	-CC|+CD|-DC|+CD
1RB1LC_1LA0RD_1LA0RD_0LC1RD	Jp	4	20	1	-CC|+CD|-DC|+CD
1RB1LC_1LA1LC_1LB0RD_0LC1RD	Jp	4	20	1	-CC|+CD|-DC|+CD
1RB1LC_1LA1LD_1LA0RD_0LC1RD	Jp	4	20	1	-CC|+CD|-DC|+CD
1RB1LC_1LA1RA_1LA0RD_0LC1RD	Jp	4	20	1	-CC|+CD|-DC|+CD
1RB1LC_1LA1RD_1LA0RD_0LC1RD	Jp	4	20	1	-CC|+CD|-DC|+CD
1RB1LC_1LC0RD_1LA0RD_0LC1RD	Jp	4	20	1	-CC|+CD|-DC|+CD
1RB1LC_1LC1LD_1LA0RD_0LC1RD	Jp	4	20	1	-CC|+CD|-DC|+CD
