machine	theorem	file
1RB0LD_0LC0RB_1RA1LD_1RB1LC	nqh_1RB0LD_0LC0RB_1RA1LD_1RB1LC	theories/Machines/Counters/Mono_10.v
1RB1LC_0LC0RB_1RD1LA_1RB0LA	nqh_1RB1LC_0LC0RB_1RD1LA_1RB0LA	theories/Machines/Counters/Mono_26.v
1RB1LD_1RC0RB_0LA1RB_0LD1LA	nqh_1RB1LD_1RC0RB_0LA1RB_0LD1LA	theories/Machines/Counters/Mono_31.v
1RB0RC_1RC1LB_1LD0RC_0LB0LA	nqh_1RB0RC_1RC1LB_1LD0RC_0LB0LA	theories/Machines/Counters/Spacer_16.v
1RB1LA_1LC0RB_0LA0LD_1RA0RB	nqh_1RB1LA_1LC0RB_0LA0LD_1RA0RB	theories/Machines/Counters/Spacer_22.v
1RB1LA_1LC0RB_0LA0LD_1RD0RB	nqh_1RB1LA_1LC0RB_0LA0LD_1RD0RB	theories/Machines/Counters/Spacer_23.v
1RB0RD_1LC0LB_1RA0LB_1RD0RC	nqh_1RB0RD_1LC0LB_1RA0LB_1RD0RC	theories/Machines/Counters/Gray_19.v
1RB1RD_1LC1LB_0LD0LB_1RD0RA	nqh_1RB1RD_1LC1LB_0LD0LB_1RD0RA	theories/Machines/Counters/Mono2_38.v
1RB1RD_1LC1LB_1LD0LB_1RD0RA	nqh_1RB1RD_1LC1LB_1LD0LB_1RD0RA	theories/Machines/Counters/Mono2_39.v
1RB0RD_1LB0LC_1LD1LB_1RA1RD	nqh_1RB0RD_1LB0LC_1LD1LB_1RA1RD	theories/Machines/Counters/Interleave_18.v
1RB1RA_0RC0RA_1LC0LD_1LA1LC	nqh_1RB1RA_0RC0RA_1LC0LD_1LA1LC	theories/Machines/Counters/Interleave_35.v
1RB0LA_1LC0RB_1RD1LD_1LA1RC	nqh_1RB0LA_1LC0RB_1RD1LD_1LA1RC	theories/Machines/Counters/Exp_2.v
1RB0LA_1LC1RC_1RD1LB_1LA0RD	nqh_1RB0LA_1LC1RC_1RD1LB_1LA0RD	theories/Machines/Counters/Exp_4.v
1RB0RA_1LC1RD_1LD0LC_1RA1LB	nqh_1RB0RA_1LC1RD_1LD0LC_1RA1LB	theories/Machines/Counters/Exp_12.v
1RB0LC_1LC0RB_1RD1LA_0LA1RB	nqh_1RB0LC_1LC0RB_1RD1LA_0LA1RB	theories/Machines/Counters/Bounce_8.v
1RB1LD_1RC0RB_1LA1RB_0LD0LA	nqh_1RB1LD_1RC0RB_1LA1RB_0LD0LA	theories/Machines/Counters/Bounce_33.v
1RB0RD_0LB1LC_1RA1LB_1RA1RD	nqh_1RB0RD_0LB1LC_1RA1LB_1RA1RD	theories/Machines/Counters/Wave_17.v
1RB1LC_1LC0RD_0LC1LA_1RB1RD	nqh_1RB1LC_1LC0RD_0LC1LA_1RB1RD	theories/Machines/Counters/Wave_27.v
