machine	theorem	file	n	t	contexts	gates
1RB0LA_0RC0RD_1LA1LC_0LC0RB	nqh_1RB0LA_0RC0RD_1LA1LC_0LC0RB	theories/Machines/Drift_Batch_01.v	2	0	173	D=drift:R0,L16
1RB0LA_0RC1LD_1LA1RC_1LB0LD	nqh_1RB0LA_0RC1LD_1LA1RC_1LB0LD	theories/Machines/Drift_Batch_01.v	2	0	171	D=drift:R16,L0
1RB0LA_0RC1LD_1LA1RC_1RC0LD	nqh_1RB0LA_0RC1LD_1LA1RC_1RC0LD	theories/Machines/Drift_Batch_01.v	2	0	155	D=drift:R16,L0
1RB0LA_1LC0RD_0LD0LC_1LA1RD	nqh_1RB0LA_1LC0RD_0LD0LC_1LA1RD	theories/Machines/Drift_Batch_01.v	2	0	179	C=drift:R4,L0
1RB0LA_1LC0RD_0RD0LC_1LA1RD	nqh_1RB0LA_1LC0RD_0RD0LC_1LA1RD	theories/Machines/Drift_Batch_01.v	2	0	149	C=drift:R4,L0
1RB0LA_1LC0RD_1LA0LC_1LA1RD	nqh_1RB0LA_1LC0RD_1LA0LC_1LA1RD	theories/Machines/Drift_Batch_01.v	2	0	153	C=drift:R4,L0
1RB0LA_1RC1LD_0LD0RB_0RC1LA	nqh_1RB0LA_1RC1LD_0LD0RB_0RC1LA	theories/Machines/Drift_Batch_01.v	2	0	187	C=drift:R0,L4
1RB0LA_1RC1LD_0LD0RC_0RB1LA	nqh_1RB0LA_1RC1LD_0LD0RC_0RB1LA	theories/Machines/Drift_Batch_01.v	2	0	195	C=drift:R0,L4
1RB0LB_1LC1RA_1RD0LC_0LA0RB	nqh_1RB0LB_1LC1RA_1RD0LC_0LA0RB	theories/Machines/Drift_Batch_01.v	2	0	177	A=drift:R4,L0
1RB0LC_0LC0RB_1RD1LC_1LA0RD	nqh_1RB0LC_0LC0RB_1RD1LC_1LA0RD	theories/Machines/Drift_Batch_01.v	2	0	161	B=drift:R0,L4
1RB0LC_0RC0RB_1RD1LC_1LA0RD	nqh_1RB0LC_0RC0RB_1RD1LC_1LA0RD	theories/Machines/Drift_Batch_01.v	2	0	165	B=drift:R0,L4
1RB0LD_1RC0RB_1LA0RC_1RC1LD	nqh_1RB0LD_1RC0RB_1LA0RC_1RC1LD	theories/Machines/Drift_Batch_01.v	2	0	159	B=drift:R0,L4
1RB1LA_1LC0RB_0LA1RD_1LA0RD	nqh_1RB1LA_1LC0RB_0LA1RD_1LA0RD	theories/Machines/Drift_Batch_01.v	2	0	139	D=drift:R0,L16
1RB1LA_1LC0RB_0LA1RD_1RC0RD	nqh_1RB1LA_1LC0RB_0LA1RD_1RC0RD	theories/Machines/Drift_Batch_01.v	2	0	151	D=drift:R0,L16
1RB1LC_1LC0RB_1RD0LC_0RD1LA	nqh_1RB1LC_1LC0RB_1RD0LC_0RD1LA	theories/Machines/Drift_Batch_01.v	2	0	149	A=drift:R1,L0;B=drift:R1,L4;C=drift:R1,L0
1RB1LD_1LC0RB_0LC1RA_1LA0LD	nqh_1RB1LD_1LC0RB_0LC1RA_1LA0LD	theories/Machines/Drift_Batch_01.v	2	0	177	A=drift:R0,L2;B=drift:R0,L2;D=drift:R16,L2
1RB1RC_1LC0LC_1RD0LB_0LA0RD	nqh_1RB1RC_1LC0LC_1RD0LB_0LA0RD	theories/Machines/Drift_Batch_01.v	2	0	131	B=drift:R5,L0
