machine	ngram_n	tags	detail
1RB---_0RC0RB_1LC0LD_1RA0LD	2	offwindow-fuel	first-fail=orient=R n=2 t=0 q=A; at n=2 t=0 contexts=73: q=A: scc[sz=1 dir=L winfuel=n states=C]; q=B: scc[sz=1 dir=L winfuel=n states=C]; q=D: scc[sz=1 dir=L winfuel=n states=C]
1RB0LA_0LC1RD_1LC1LA_0RB0RD	2	offwindow-fuel	first-fail=orient=R n=2 t=0 q=A; at n=2 t=0 contexts=128: q=A: scc[sz=1 dir=L winfuel=n states=C]; q=B: scc[sz=1 dir=L winfuel=n states=C]; q=D: scc[sz=1 dir=L winfuel=n states=C]
1RB0LA_0LC1RD_1LC1LA_0RC0RD	2	offwindow-fuel	first-fail=orient=R n=2 t=0 q=A; at n=2 t=0 contexts=98: q=A: scc[sz=1 dir=L winfuel=n states=C]; q=B: scc[sz=1 dir=L winfuel=n states=C]; q=D: scc[sz=1 dir=L winfuel=n states=C]
1RB0LA_0RC0RB_0LD1LA_1LD0LA	2	offwindow-fuel	first-fail=orient=R n=2 t=0 q=A; at n=2 t=0 contexts=96: q=A: scc[sz=1 dir=L winfuel=n states=D]; q=B: scc[sz=1 dir=L winfuel=n states=D]; q=C: scc[sz=1 dir=L winfuel=n states=D]
1RB0LA_0RC0RB_0LD1LA_1LD1RC	2	offwindow-fuel	first-fail=orient=R n=2 t=0 q=A; at n=2 t=0 contexts=112: q=A: scc[sz=1 dir=L winfuel=n states=D]; q=B: scc[sz=1 dir=L winfuel=n states=D]; q=C: scc[sz=1 dir=L winfuel=n states=D]
1RB0LA_0RC1RB_0LD0RB_1LD0LA	2	offwindow-fuel	first-fail=orient=R n=2 t=0 q=A; at n=2 t=0 contexts=80: q=A: scc[sz=1 dir=L winfuel=n states=D]; q=B: scc[sz=1 dir=L winfuel=n states=D]; q=C: scc[sz=1 dir=L winfuel=n states=D]
1RB0LA_1LC0RD_0LC1LA_0RB1RD	2	offwindow-fuel	first-fail=orient=R n=2 t=0 q=A; at n=2 t=0 contexts=128: q=A: scc[sz=1 dir=L winfuel=n states=C]; q=B: scc[sz=1 dir=L winfuel=n states=C]; q=D: scc[sz=1 dir=L winfuel=n states=C]
1RB0LA_1RC---_0RD0RC_1LD0LA	2	offwindow-fuel	first-fail=orient=R n=2 t=0 q=A; at n=2 t=0 contexts=70: q=A: scc[sz=1 dir=L winfuel=n states=D]; q=B: scc[sz=1 dir=L winfuel=n states=D]; q=C: scc[sz=1 dir=L winfuel=n states=D]
1RB0LA_1RC1LA_0RD0RC_1LD0RB	2	offwindow-fuel	first-fail=orient=R n=2 t=0 q=A; at n=2 t=0 contexts=106: q=A: scc[sz=1 dir=L winfuel=n states=D]; q=B: scc[sz=1 dir=L winfuel=n states=D]; q=C: scc[sz=1 dir=L winfuel=n states=D]
1RB0LA_1RC1LA_0RD0RC_1LD1RB	2	offwindow-fuel	first-fail=orient=R n=2 t=0 q=A; at n=2 t=0 contexts=82: q=A: scc[sz=1 dir=L winfuel=n states=D]; q=B: scc[sz=1 dir=L winfuel=n states=D]; q=C: scc[sz=1 dir=L winfuel=n states=D]
