machine	theorem	file	n	t	contexts	orient
1RB---_0RC0RB_1LC0LD_1RA0LD	nqh_1RBXXX_0RC0RB_1LC0LD_1RA0LD	theories/Machines/Fuel_Batch_01.v	2	0	157	mirror
1RB0LA_0LC1RD_1LC1LA_0RB0RD	nqh_1RB0LA_0LC1RD_1LC1LA_0RB0RD	theories/Machines/Fuel_Batch_01.v	2	0	157	mirror
1RB0LA_0LC1RD_1LC1LA_0RC0RD	nqh_1RB0LA_0LC1RD_1LC1LA_0RC0RD	theories/Machines/Fuel_Batch_01.v	2	0	149	mirror
1RB0LA_0RC0RB_0LD1LA_1LD0LA	nqh_1RB0LA_0RC0RB_0LD1LA_1LD0LA	theories/Machines/Fuel_Batch_01.v	2	0	187	mirror
1RB0LA_0RC0RB_0LD1LA_1LD1RC	nqh_1RB0LA_0RC0RB_0LD1LA_1LD1RC	theories/Machines/Fuel_Batch_01.v	2	0	211	mirror
1RB0LA_0RC1RB_0LD0RB_1LD0LA	nqh_1RB0LA_0RC1RB_0LD0RB_1LD0LA	theories/Machines/Fuel_Batch_01.v	2	0	239	mirror
1RB0LA_1LC0RD_0LC1LA_0RB1RD	nqh_1RB0LA_1LC0RD_0LC1LA_0RB1RD	theories/Machines/Fuel_Batch_01.v	2	0	153	mirror
1RB0LA_1RC---_0RD0RC_1LD0LA	nqh_1RB0LA_1RCXXX_0RD0RC_1LD0LA	theories/Machines/Fuel_Batch_01.v	2	0	137	mirror
1RB0LA_1RC1LA_0RD0RC_1LD0RB	nqh_1RB0LA_1RC1LA_0RD0RC_1LD0RB	theories/Machines/Fuel_Batch_01.v	2	0	169	mirror
1RB0LA_1RC1LA_0RD0RC_1LD1RB	nqh_1RB0LA_1RC1LA_0RD0RC_1LD1RB	theories/Machines/Fuel_Batch_01.v	2	0	143	mirror
1RB0LB_0RC1RB_0RD0RC_1LD1LA	nqh_1RB0LB_0RC1RB_0RD0RC_1LD1LA	theories/Machines/Fuel_Batch_01.v	2	0	88	mirror
1RB0LB_1RC1LA_0RD0RC_1LD1RB	nqh_1RB0LB_1RC1LA_0RD0RC_1LD1RB	theories/Machines/Fuel_Batch_01.v	2	0	137	mirror
1RB0LC_1LB1RC_1RD1LA_0RB0RD	nqh_1RB0LC_1LB1RC_1RD1LA_0RB0RD	theories/Machines/Fuel_Batch_01.v	2	0	159	mirror
1RB0LC_1LC0LA_0LD0LB_1RD0RB	nqh_1RB0LC_1LC0LA_0LD0LB_1RD0RB	theories/Machines/Fuel_Batch_01.v	3	0	185	direct
