machine	theorem	file
1RB0LC_0LA1RA_1LA0RD_1LD1RC	irbp_1RB0LC_0LA1RA_1LA0RD_1LD1RC_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_01.v
1RB0LC_1LA1RA_1LA0RD_1LD1RC	irbp_1RB0LC_1LA1RA_1LA0RD_1LD1RC_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_01.v
1RB0LD_0LC1RA_1LC1RD_1LA0RC	irbp_1RB0LD_0LC1RA_1LC1RD_1LA0RC_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_01.v
1RB0LD_0LC1RD_0RD1LC_1RB1LA	irbp_1RB0LD_0LC1RD_0RD1LC_1RB1LA_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_01.v
1RB0LD_0LC1RD_1LA1LC_1RB1LA	irbp_1RB0LD_0LC1RD_1LA1LC_1RB1LA_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_01.v
1RB0LD_0LC1RD_1LD1LC_1RB1LA	irbp_1RB0LD_0LC1RD_1LD1LC_1RB1LA_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_01.v
1RB0LD_0LC1RD_1RA1LC_1RB1LA	irbp_1RB0LD_0LC1RD_1RA1LC_1RB1LA_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_01.v
1RB0LD_0LC1RD_1RB1LC_1RB1LA	irbp_1RB0LD_0LC1RD_1RB1LC_1RB1LA_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_01.v
1RB0LD_0RC1RA_1LC1RD_1LA0RC	irbp_1RB0LD_0RC1RA_1LC1RD_1LA0RC_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_01.v
1RB0LD_1LC0RA_0LD1LB_1RD1LA	irbp_1RB0LD_1LC0RA_0LD1LB_1RD1LA_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_01.v
1RB0LD_1LC0RA_0RB1LB_1RD1LA	irbp_1RB0LD_1LC0RA_0RB1LB_1RD1LA_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_02.v
1RB0LD_1LC0RA_0RD1LB_1RD1LA	irbp_1RB0LD_1LC0RA_0RD1LB_1RD1LA_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_02.v
1RB0LD_1LC0RA_1RB1LB_1RD1LA	irbp_1RB0LD_1LC0RA_1RB1LB_1RD1LA_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_02.v
1RB0LD_1LC0RA_1RD1LB_1RD1LA	irbp_1RB0LD_1LC0RA_1RD1LB_1RD1LA_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_02.v
1RB0LD_1LC1RA_1LC1RD_1LA0RC	irbp_1RB0LD_1LC1RA_1LC1RD_1LA0RC_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_02.v
1RB0LD_1LC1RD_0RD1LC_1RB1LA	irbp_1RB0LD_1LC1RD_0RD1LC_1RB1LA_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_02.v
1RB0LD_1LC1RD_1LA1LC_1RB1LA	irbp_1RB0LD_1LC1RD_1LA1LC_1RB1LA_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_02.v
1RB0LD_1LC1RD_1LD1LC_1RB1LA	irbp_1RB0LD_1LC1RD_1LD1LC_1RB1LA_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_02.v
1RB0LD_1LC1RD_1RA1LC_1RB1LA	irbp_1RB0LD_1LC1RD_1RA1LC_1RB1LA_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_02.v
1RB0LD_1LC1RD_1RB1LC_1RB1LA	irbp_1RB0LD_1LC1RD_1RB1LC_1RB1LA_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_02.v
1RB1LA_0LA1RC_1RB1LD_1RB0LC	irbp_1RB1LA_0LA1RC_1RB1LD_1RB0LC_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_03.v
