machine	theorem	file	anchor	cert_ver
0RB---_0RC1LB_1LD1RC_0LA0LB	nqh_n3_00000	LCS2_00.v	197791	v5
0RB---_0RC1LB_1LD1RC_1LA0LB	nqh_n3_00001	LCS2_00.v	190426	v5
0RB---_1LC1RB_1LA0LD_0RB1LD	nqh_n3_00002	LCS2_00.v	190321	v5
0RB0LA_1RC1LC_0RD1LA_1LD0LB	nqh_n3_00003	LCS2_00.v	199979	v5
0RB0LC_0LC1LC_0RD1LC_1LA1RD	nqh_n3_00004	LCS2_00.v	197792	v5
0RB0LC_0LC1RB_0RD1LC_1LA1RD	nqh_n3_00005	LCS2_00.v	197457	v5
0RB0LC_0LC1RD_0RD1LC_1LA1RD	nqh_n3_00006	LCS2_00.v	197626	v5
0RB0LC_0RC1LB_0RD1LC_1LA1RD	nqh_n3_00007	LCS2_00.v	197958	v5
0RB0LC_0RC1LC_0RD1LC_1LA1RD	nqh_n3_00008	LCS2_00.v	197792	v5
0RB0LC_0RC1RD_0RD1LC_1LA1RD	nqh_n3_00009	LCS2_00.v	197626	v5
0RB0LC_1LA1LC_0RD1LC_1LA1RD	nqh_n3_00010	LCS2_00.v	197790	v5
0RB0LC_1LA1RB_0RD1LC_1LA1RD	nqh_n3_00011	LCS2_00.v	197624	v5
0RB0LC_1LC0LA_0RD1LC_1LA1RD	nqh_n3_00012	LCS2_00.v	197952	v5
0RB0LC_1LC1LB_0RD1LC_1LA1RD	nqh_n3_00013	LCS2_00.v	195940	v5
0RB0LC_1LC1LC_0RD1LC_1LA1RD	nqh_n3_00014	LCS2_00.v	197788	v5
0RB0LC_1LC1RA_1LA1LD_1RB1LA	nqh_n3_00015	LCS2_00.v	199985	v6
0RB0LC_1LC1RB_0RD1LC_1LA1RD	nqh_n3_00016	LCS2_00.v	190268	v5
0RB0LC_1LC1RC_0RD1LC_1LA1RD	nqh_n3_00017	LCS2_00.v	197952	v5
0RB0LC_1LC1RD_0RD1LC_1LA1RD	nqh_n3_00018	LCS2_00.v	197624	v5
0RB0LC_1LC1RD_1LA1LD_1RA0LD	nqh_n3_00019	LCS2_00.v	199972	v5
0RB0LC_1RC0LD_1LA0RB_1RD1RA	nqh_n3_00020	LCS2_00.v	87353	v6
0RB0LC_1RC0LD_1LA0RD_1LB1RA	nqh_n3_00021	LCS2_00.v	199855	v5
0RB0LC_1RC0RD_1LA0RB_1RD1RA	nqh_n3_00022	LCS2_00.v	200000	v3
