1RB---_1LC1LB_0LC1RD_0RB0RD no_interior_jS_j_chain_at_octave_parity_0
1RB---_1LC1RD_0LB1RD_1LB0RD no_visit_witness
1RB---_1RC1LB_0LB1RD_1RA0RC no_inner_family_at_pow2_j
1RB0LA_1LC0RD_1LA1LB_0LB1RD no_boot_chain
1RB0LA_1LC0RD_1LA1LB_0LC1RD no_exit_chain
1RB0LC_0RC1LD_1LB1RC_0LA0LB no_inner_family_at_pow2_j
1RB0LC_1LC0RD_0RA1LB_0LC1RD no_boot_chain
1RB0LD_0LC1RA_0LA1LA_0RB1LD no_boot_chain
1RB0LD_0LC1RA_1LA0RB_0RB1LD no_boot_chain
1RB0LD_0LC1RA_1LA1LA_0RB1LD no_boot_chain
1RB0LD_0LC1RA_1RB1LA_0RB1LD no_boot_chain
1RB0LD_0RC1RA_1LC1LA_0RA1LD no_gap-free_two-form_family
1RB0LD_0RC1RA_1LC1LA_0RB1LD no_gap-free_two-form_family
1RB0LD_1LC1LB_1LD1RC_0RC1LA no_inner_family_at_pow2_j
1RB0LD_1LC1RA_0RB1LA_0RB1LD no_inner_family_at_pow2_j
1RB0LD_1LC1RA_0RD1LA_0RB1LD no_inner_family_at_pow2_j
1RB0LD_1LC1RA_1LA1RC_0RA1LD no_inner_family_at_pow2_j
1RB0LD_1LC1RA_1RD1RC_0RB1LD no_gap-free_two-form_family
1RB0LD_1LC1RB_1LD1RC_0RC1LA no_inner_family_at_pow2_j
1RB0LD_1RC1RA_1LA1LC_0RA1LD no_gap-free_two-form_family
1RB0LD_1RC1RA_1LA1RA_0RA1LD no_gap-free_two-form_family
1RB0LD_1RC1RA_1LA1RA_0RB1LD no_gap-free_two-form_family
1RB0LD_1RC1RA_1LA1RC_0RA1LD no_inner_family_at_pow2_j
1RB0LD_1RC1RB_1LD1RC_0RC1LA no_inner_family_at_pow2_j
1RB0RC_0LA1LC_0RD0LB_1LB1RD no_boot_chain
1RB0RC_0RC1LD_1LB1RC_0LA0LB no_inner_family_at_pow2_j
1RB0RC_1LC1RA_1RD1LB_0LC0RD no_inner_family_at_pow2_j
1RB0RD_1LB1LC_1RC0RA_0LB1RD no_boot_chain
1RB0RD_1LC1RA_0RB0LC_1LD0LA no_boot_chain
1RB0RD_1RC---_1RD1LC_0LC1RA no_inner_family_at_pow2_j
1RB1LA_0LA1RC_0RD0RB_1LB0LA no_inner_family_at_pow2_j
1RB1LA_0LA1RC_0RD0RB_1LB0RA no_inner_family_at_pow2_j
1RB1LA_0LA1RC_0RD0RB_1LB1RA no_inner_family_at_pow2_j
1RB1LA_0LA1RC_0RD0RB_1LB1RD no_inner_family_at_pow2_j
1RB1LA_0LA1RC_1LD0RB_1LA1LD no_inner_family_at_pow2_j
1RB1LA_0LA1RC_1LD0RB_1RA1LD no_inner_family_at_pow2_j
1RB1LA_0LA1RC_1LD0RB_1RA1RD no_inner_family_at_pow2_j
1RB1LA_0LA1RC_1RD0RB_1LD0LA no_inner_family_at_pow2_j
1RB1LA_0LA1RC_1RD0RB_1RA--- no_inner_family_at_pow2_j
1RB1LA_0LC1RD_1LC1LA_0LA0RB no_boot_chain
1RB1LA_0LC1RD_1RA1LC_0LA0RB no_inner_family_at_pow2_j
1RB1LA_0RC1LD_1LB1RC_0LA0LB no_inner_family_at_pow2_j
1RB1LA_0RC1RD_1LB0LD_0LA0RB no_boot_chain
