machine	theorem	file	tier	method	n	t	contexts
0RB---_1LA1RC_1LD0RC_0LD0LA	nqh_0RBXXX_1LA1RC_1LD0RC_0LD0LA	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	94
0RB---_1LA1RC_1LD0RC_0LD1LA	nqh_0RBXXX_1LA1RC_1LD0RC_0LD1LA	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	73
0RB---_1RC---_1LD0RC_0LD0LA	nqh_0RBXXX_1RCXXX_1LD0RC_0LD0LA	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	99
0RB---_1RC0LA_1LD0RC_0LD1LA	nqh_0RBXXX_1RC0LA_1LD0RC_0LD1LA	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	83
0RB---_1RC1RC_1LD0RC_0LD1LA	nqh_0RBXXX_1RC1RC_1LD0RC_0LD1LA	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	69
0RB---_1RC1RD_0LC1LA_1LC0RD	nqh_0RBXXX_1RC1RD_0LC1LA_1LC0RD	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	84
0RB0LA_1LC1RB_0RD0LC_1RD1LA	nqh_0RB0LA_1LC1RB_0RD0LC_1RD1LA	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	107
0RB0LA_1RC0LD_1LA0RC_1LD1RB	nqh_0RB0LA_1RC0LD_1LA0RC_1LD1RB	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	291
0RB0LA_1RC1LC_0LC1RD_1LA0RD	nqh_0RB0LA_1RC1LC_0LC1RD_1LA0RD	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	197
0RB0LA_1RC1LD_1LA0RC_0LD0LA	nqh_0RB0LA_1RC1LD_1LA0RC_0LD0LA	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	119
0RB0LA_1RC1LD_1LA0RC_0LD1RC	nqh_0RB0LA_1RC1LD_1LA0RC_0LD1RC	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	103
0RB0LA_1RC1RB_0LD0RC_1LD1LA	nqh_0RB0LA_1RC1RB_0LD0RC_1LD1LA	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	263
0RB0LB_1LC1RA_0LD0LC_1RD1LB	nqh_0RB0LB_1LC1RA_0LD0LC_1RD1LB	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	183
0RB0LC_1LA1LC_0RD0LA_1RD1RB	nqh_0RB0LC_1LA1LC_0RD0LA_1RD1RB	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	122
0RB0LC_1LA1LC_1RD0LC_0RD1LA	nqh_0RB0LC_1LA1LC_1RD0LC_0RD1LA	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	79
0RB0LC_1LA1RB_0RD0LA_1RD1LB	nqh_0RB0LC_1LA1RB_0RD0LA_1RD1LB	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	131
0RB0LC_1LA1RB_0RD0LA_1RD1RB	nqh_0RB0LC_1LA1RB_0RD0LA_1RD1RB	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	109
0RB0LC_1LC0LA_1RD0LC_0RD1LA	nqh_0RB0LC_1LC0LA_1RD0LC_0RD1LA	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	87
0RB0LC_1LC0LA_1RD1RB_0RD1LA	nqh_0RB0LC_1LC0LA_1RD1RB_0RD1LA	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	115
0RB0LC_1LC1LA_0RD0LA_1RD1RB	nqh_0RB0LC_1LC1LA_0RD0LA_1RD1RB	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	89
0RB0LC_1LC1LC_1RD0LC_0RD1LA	nqh_0RB0LC_1LC1LC_1RD0LC_0RD1LA	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	75
0RB0LC_1LC1RB_0RD0LA_1RD1RB	nqh_0RB0LC_1LC1RB_0RD0LA_1RD1RB	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	73
0RB0LC_1RC1RD_0LC1LA_1LB0RD	nqh_0RB0LC_1RC1RD_0LC1LA_1LB0RD	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	109
0RB0LD_1LC1LD_0RC1LA_1RC0LD	nqh_0RB0LD_1LC1LD_0RC1LA_1RC0LD	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	83
0RB0RB_1LC1RA_0LD0LC_1RD1LB	nqh_0RB0RB_1LC1RA_0LD0LC_1RD1LB	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	155
0RB1LA_1LC1RB_1RD0LC_0RD0LA	nqh_0RB1LA_1LC1RB_1RD0LC_0RD0LA	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	177
0RB1LB_1RC1LD_1LA0RC_0LD0RB	nqh_0RB1LB_1RC1LD_1LA0RC_0LD0RB	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	67
0RB1LC_1LA0LC_1RB1RD_0RD0LA	nqh_0RB1LC_1LA0LC_1RB1RD_0RD0LA	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	125
0RB1LC_1LA1RC_0LC1RD_1RB0RD	nqh_0RB1LC_1LA1RC_0LC1RD_1RB0RD	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	155
0RB1LC_1RC1RD_0LC1LA_1LB0RD	nqh_0RB1LC_1RC1RD_0LC1LA_1LB0RD	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	115
0RB1LC_1RC1RD_0LC1LB_1LA0RD	nqh_0RB1LC_1RC1RD_0LC1LB_1LA0RD	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	139
0RB1LD_1LA1RC_1RB0RC_0LD0LB	nqh_0RB1LD_1LA1RC_1RB0RC_0LD0LB	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	3	0	245
0RB1LD_1LA1RC_1RB0RC_0LD1RB	nqh_0RB1LD_1LA1RC_1RB0RC_0LD1RB	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	3	0	142
0RB1LD_1LA1RC_1RB0RC_0LD1RC	nqh_0RB1LD_1LA1RC_1RB0RC_0LD1RC	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	127
0RB1LD_1LA1RC_1RD0RC_0LD1RB	nqh_0RB1LD_1LA1RC_1RD0RC_0LD1RB	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	3	0	262
0RB1LD_1LC0LA_0RC1RB_1RC0LD	nqh_0RB1LD_1LC0LA_0RC1RB_1RC0LD	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	101
0RB1LD_1LC1LA_0RC1RB_1RC0LD	nqh_0RB1LD_1LC1LA_0RC1RB_1RC0LD	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	115
0RB1LD_1LC1RC_1LA0RC_0LD0RB	nqh_0RB1LD_1LC1RC_1LA0RC_0LD0RB	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	109
0RB1RB_1LA1LC_1RD0LC_0RD0LA	nqh_0RB1RB_1LA1LC_1RD0LC_0RD0LA	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	115
0RB1RB_1LA1LC_1RD0LC_0RD1LA	nqh_0RB1RB_1LA1LC_1RD0LC_0RD1LA	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	91
0RB1RB_1LC---_1RD0LC_0RD0LA	nqh_0RB1RB_1LCXXX_1RD0LC_0RD0LA	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	87
0RB1RB_1LC0LA_1RD0LC_0RD1LA	nqh_0RB1RB_1LC0LA_1RD0LC_0RD1LA	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	111
0RB1RB_1LC0LC_1RD1LA_0RD0LA	nqh_0RB1RB_1LC0LC_1RD1LA_0RD0LA	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	121
0RB1RB_1LC0LC_1RD1LA_0RD1LC	nqh_0RB1RB_1LC0LC_1RD1LA_0RD1LC	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	97
0RB1RB_1LC0LD_0RC1LD_1RC1LA	nqh_0RB1RB_1LC0LD_0RC1LD_1RC1LA	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	101
0RB1RB_1LC0RA_0LD0LC_1RD1LB	nqh_0RB1RB_1LC0RA_0LD0LC_1RD1LB	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	185
0RB1RB_1LC1LC_1RD0LC_0RD1LA	nqh_0RB1RB_1LC1LC_1RD0LC_0RD1LA	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	87
0RB1RB_1LC1LD_0RC1LA_1RC0LD	nqh_0RB1RB_1LC1LD_0RC1LA_1RC0LD	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	95
0RB1RB_1LC1RC_0RC1LD_1LA0LD	nqh_0RB1RB_1LC1RC_0RC1LD_1LA0LD	theories/Machines/ListCStage3/LCS3_fuel_00.v	R_NeverQH	fuel	2	0	132
