machine,list,wave4_status,mxdys_status,mxdys_decider,match_kind
0RB---_0LC0RA_0LD---_1RA1LC,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB---_0LC0RA_0LD1LC_1RA1RB,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB---_0LC0RA_0LD1RA_1RB1LC,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB---_0LC0RA_1RB0LD_1LC---,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB---_0LC0RB_1LD---_1RB1LC,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB---_0LC0RB_1RB1LD_1LC---,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB---_0LC1RA_1RB0LD_1LA1LC,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB---_0LC1RB_0LD0RA_1RA1LC,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB---_0LC1RB_1LA1LD_1LC0RB,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB---_0LC1RB_1LD0RB_1LA1LC,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB---_0RC0LB_1LB1RD_1RC---,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB---_0RC0LB_1RD---_1LB1RC,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB---_0RC0LD_1LD1RC_0LA1LB,listC,unboarded,nonhalt,NGRAM_CPS_IMPL2_params_2_2_200,direct
0RB---_0RC1LD_1LB1RC_0LA0LB,listC,unboarded,nonhalt,NGRAM_CPS_IMPL2_params_2_2_200,direct
0RB---_1LA0LC_0RD1LB_1LC1RD,listC,unboarded,nonhalt,NGRAM_CPS_IMPL2_params_2_2_200,direct
0RB---_1LA1LC_0RD0LB_1LB1RD,listC,unboarded,nonhalt,NGRAM_CPS_IMPL2_params_2_2_200,direct
0RB---_1LA1RC_0LD0RB_1RB1LD,listC,unboarded,nonhalt,NGRAM_CPS_IMPL2_params_1_1_100,direct
0RB---_1LA1RC_1LD0RC_0LD0LA,listC,fuel,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB---_1LA1RC_1LD0RC_0LD1LA,listC,fuel,nonhalt,NGRAM_CPS_IMPL2_params_2_2_200,direct
0RB---_1LC---_1RD1LB_0LB0RD,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB---_1LC0LA_1RD1LB_0LC0RD,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB---_1LC1LB_1RD1LA_0LB0RD,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB---_1LC1RA_0LD---_0RA0LC,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB---_1LC1RA_0LD1RB_1RD0LC,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB---_1LC1RB_0RB1LD_0LA0LC,listC,unboarded,nonhalt,NGRAM_CPS_IMPL2_params_2_2_200,direct
0RB---_1LC1RB_0RB1LD_1LA0LC,listC,unboarded,nonhalt,NGRAM_CPS_IMPL2_params_2_2_200,direct
0RB---_1LC1RB_1LA1LD_0RB0LC,listC,unboarded,nonhalt,NGRAM_CPS_IMPL2_params_2_2_200,direct
0RB---_1LC1RD_0RB0LC_1RB---,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB---_1LC1RD_1LA1LB_0LB0RD,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB---_1RC---_1LD0RC_0LD0LA,listC,fuel,nonhalt,NGRAM_CPS_IMPL2_params_2_2_200,direct
0RB---_1RC---_1LD1RB_0RB0LD,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB---_1RC0LA_1LD0RC_0LD1LA,listC,fuel,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB---_1RC0RB_1LD1RB_1LA0LD,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB---_1RC1LD_0LB0RC_1LB---,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB---_1RC1LD_0LD0RC_1LB1LA,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_4_2_2_600,direct
