machine,status,anchor,k0,meta_a,meta_b,kmin,nrules,qh,score
0RB---_0LC1RB_1LA1LD_1LC0RB,undecided,0,0,0,0,0,0,?,0
0RB---_0LC1RB_1LD0RB_1LA1LC,undecided,0,0,0,0,0,0,?,0
0RB---_0RC0LD_1LD1RC_0LA1LB,undecided,0,0,0,0,0,0,?,0
0RB---_0RC1LD_1LB1RC_0LA0LB,undecided,0,0,0,0,0,0,?,0
0RB---_1LA0LC_0RD1LB_1LC1RD,undecided,0,0,0,0,0,0,?,0
0RB---_1LA1LC_0LD0LC_1RD0LB,irules,199361,445,1,1,1,0,T,3
0RB---_1LA1LC_0LD0LC_1RD1LB,irules,199361,445,1,1,2,0,T,3
0RB---_1LA1LC_0LD0LC_1RD1LC,irules,199715,631,1,2,1,0,T,4
0RB---_1LA1LC_0RC1LD_1RC0LD,undecided,0,0,0,0,0,0,?,0
0RB---_1LA1LC_0RD0LB_1LB1RD,undecided,0,0,0,0,0,0,?,0
0RB---_1LA1LC_0RD0RC_1LD1RC,irules,199717,631,1,2,1,0,T,4
0RB---_1LA1LC_1RC1LD_0LC0LD,irules,199084,630,1,2,1,0,T,4
0RB---_1LA1LC_1RC1LD_1RC0LD,irules,199812,446,1,1,1,0,T,4
0RB---_1LA1LC_1RD0LC_0RD1LC,undecided,0,0,0,0,0,0,?,0
0RB---_1LA1LC_1RD0LC_1RD1LC,irules,199812,446,1,1,1,0,T,4
0RB---_1LA1RC_0LC1RD_1LC0RD,undecided,0,0,0,0,0,0,?,0
0RB---_1LA1RC_0LD0LC_1RD1LC,irules,199717,631,1,2,1,0,T,4
0RB---_1LA1RC_0LD0RB_1RB1LD,undecided,0,0,0,0,0,0,?,0
0RB---_1LA1RC_0RD0RC_1LD0RB,irules,199361,445,1,1,1,0,T,3
0RB---_1LA1RC_0RD0RC_1LD1RB,irules,199361,445,1,1,2,0,T,3
0RB---_1LA1RC_0RD0RC_1LD1RC,irules,199715,631,1,2,1,0,T,4
0RB---_1LA1RC_1LC1RD_0RC0RD,irules,199084,630,1,2,1,0,T,4
0RB---_1LA1RC_1LC1RD_1LC0RD,irules,199812,446,1,1,1,0,T,4
0RB---_1LA1RC_1LD0RC_0LD0LA,undecided,0,0,0,0,0,0,?,0
0RB---_1LA1RC_1LD0RC_0LD1LA,undecided,0,0,0,0,0,0,?,0
0RB---_1LA1RC_1LD0RC_0LD1RC,undecided,0,0,0,0,0,0,?,0
0RB---_1LA1RC_1LD0RC_1LD1RC,irules,199812,446,1,1,1,0,T,4
0RB---_1LC---_0LD0LC_1RD1LC,irules,199713,631,1,2,1,0,T,2
0RB---_1LC---_0RC1LD_1RC0LD,undecided,0,0,0,0,0,0,?,0
0RB---_1LC---_0RD0RC_1LD1RC,irules,199715,631,1,2,1,0,T,2
0RB---_1LC---_1RC1LD_0LC0LD,irules,199082,630,1,2,1,0,T,2
0RB---_1LC---_1RC1LD_1RC0LD,irules,199810,446,1,1,1,0,T,2
0RB---_1LC---_1RD0LC_0RD1LC,undecided,0,0,0,0,0,0,?,0
0RB---_1LC---_1RD0LC_1RD1LC,irules,199810,446,1,1,1,0,T,2
0RB---_1LC0LC_1RC1RD_1LB0RB,irules,199929,168,1,1,1,2,T,1
0RB---_1LC1RB_0RB1LD_0LA0LC,undecided,0,0,0,0,0,0,?,0
0RB---_1LC1RB_0RB1LD_1LA0LC,undecided,0,0,0,0,0,0,?,0
0RB---_1LC1RB_1LA1LD_0RB0LC,undecided,0,0,0,0,0,0,?,0
0RB---_1RC---_0LC1RD_1LC0RD,undecided,0,0,0,0,0,0,?,0
0RB---_1RC---_0LD0LC_1RD1LC,irules,199715,631,1,2,1,0,T,2
0RB---_1RC---_0RD0RC_1LD1RC,irules,199713,631,1,2,1,0,T,2
0RB---_1RC---_1LC1RD_0RC0RD,irules,199082,630,1,2,1,0,T,2
0RB---_1RC---_1LC1RD_1LC0RD,irules,199810,446,1,1,1,0,T,2
0RB---_1RC---_1LD0RC_0LD0LA,undecided,0,0,0,0,0,0,?,0
0RB---_1RC---_1LD0RC_0LD1RC,undecided,0,0,0,0,0,0,?,0
0RB---_1RC---_1LD0RC_1LD1RC,irules,199810,446,1,1,1,0,T,2
0RB---_1RC0LA_1LD0RC_0LD1LA,undecided,0,0,0,0,0,0,?,0
0RB---_1RC0RC_1LC1LD_1RB0LB,irules,199929,168,1,1,1,2,T,1
0RB---_1RC1LD_0LD0RC_1LB1LA,undecided,0,0,0,0,0,0,?,0
0RB---_1RC1RC_1LD0RC_0LD1LA,undecided,0,0,0,0,0,0,?,0
0RB---_1RC1RD_0LC1LA_1LC0RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_0LC1RD_0RD1LC_1LA1RB,undecided,0,0,0,0,0,0,?,0
0RB0LA_0RC1LD_1LB1RC_1RA0LB,undecided,0,0,0,0,0,0,?,0
0RB0LA_0RC1RC_1LD0LD_1LA1RB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LA0LC_0RD1LC_1RB1RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LA0RC_0LD1RC_1RB1LD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LA1LC_0RD0LC_1RD1RB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LA1RC_0LD0RC_1LD1RB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LA1RC_0LD1RB_0RC1LD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LA1RC_0RD1RD_1LB0LB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LA1RC_1LD1RB_0RB1LD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LA1RC_1LD1RB_0RC1LD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC0LC_0RD1LA_1RD1RB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC1LD_1RD0RD_1LA0RC,irules,88164,255,0,0,5,6,F,0
0RB0LA_1LC1RB_0RB1LD_0RA0LC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC1RB_0RD0LC_1RD1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC1RD_0RB1LC_1LA1RB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC1RD_0RD0LC_1RB1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1LC1RD_0RD1LC_1LA1RB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC0LC_1LA0RD_1LC0RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC0LC_1LA1RD_1LC0RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC0LD_1LA0RC_1LD1RB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC0LD_1LD0RC_1LA0LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC0LD_1LD0RC_1LA1LB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC0LD_1LD0RC_1LA1RC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC0RC_1LD0LD_1RB1LA,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LA_1LD1RB_0RC0LD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LA_1RD0RD_1LB0LB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LB_1LA0RD_0LB1RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LB_1LA1RD_0LB0RC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LC_0LC1RD_1LA0RD,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LC_1LA0RD_0RC0LC,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LD_0RD0LD_1LA1RB,undecided,0,0,0,0,0,0,?,0
0RB0LA_1RC1LD_1LA0RC_0LD0LA,undecided,0,0,0,0,0,0,?,0
