machine	theorem	file	k	n	t	fuel	nctx
0RB---_0LC0RA_0LD---_1RA1LC	nqh_h_00000	NGH_00.v	2	2	40	120000	33
0RB---_0LC0RA_0LD1LC_1RA1RB	nqh_h_00001	NGH_00.v	2	2	40	120000	53
0RB---_0LC0RA_0LD1RA_1RB1LC	nqh_h_00002	NGH_00.v	2	2	40	120000	47
0RB---_0LC0RA_1RB0LD_1LC---	nqh_h_00003	NGH_00.v	2	2	40	120000	35
0RB---_0LC1RA_1RB0LD_1LA1LC	nqh_h_00004	NGH_00.v	2	2	40	120000	50
0RB---_0LC1RB_0LD0RA_1RA1LC	nqh_h_00005	NGH_00.v	2	2	40	120000	51
0RB---_1LC1LB_1RD1LA_0LB0RD	nqh_h_00006	NGH_00.v	2	2	40	120000	53
0RB---_1LC1RA_0LD---_0RA0LC	nqh_h_00007	NGH_00.v	2	2	40	120000	33
0RB---_1LC1RA_0LD1RB_1RD0LC	nqh_h_00008	NGH_00.v	2	2	40	120000	35
0RB0LA_0RC1RC_1LD1RD_1LA1RB	nqh_h_00009	NGH_00.v	2	2	40	120000	72
0RB0LA_1LA0RC_1LD---_1RD1RB	nqh_h_00010	NGH_00.v	2	2	40	120000	49
0RB0LA_1LA0RC_1LD1RB_1RC---	nqh_h_00011	NGH_00.v	2	2	40	120000	49
0RB0LA_1LA0RC_1LD1RB_1RD1RC	nqh_h_00012	NGH_00.v	2	2	40	120000	52
0RB0LA_1LA1RC_0LC1RD_1RB---	nqh_h_00013	NGH_00.v	2	2	40	120000	49
0RB0LA_1LA1RC_0LD---_1RB1RD	nqh_h_00014	NGH_00.v	2	2	40	120000	49
0RB0LA_1LA1RC_0RD1RD_1LB1RB	nqh_h_00015	NGH_00.v	2	2	40	120000	70
0RB0LA_1LA1RC_1LA1RD_1RB---	nqh_h_00016	NGH_00.v	2	2	40	120000	56
0RB0LA_1LA1RC_1LB1RD_1RB---	nqh_h_00017	NGH_00.v	2	2	40	120000	40
0RB0LA_1LA1RC_1LC1RD_---1RB	nqh_h_00018	NGH_00.v	2	2	40	120000	49
0RB0LA_1LA1RC_1LD---_1RB1RD	nqh_h_00019	NGH_00.v	4	2	40	120000	45
0RB0LA_1LA1RC_1RB---_------	nqh_h_00020	NGH_00.v	2	2	40	120000	35
0RB0LA_1LA1RC_1RD---_0LD1RB	nqh_h_00021	NGH_00.v	4	2	40	120000	96
0RB0LA_1LA1RC_1RD---_1LA1RB	nqh_h_00022	NGH_00.v	2	2	40	120000	62
0RB0LA_1LA1RC_1RD---_1RB---	nqh_h_00023	NGH_00.v	2	2	40	120000	30
0RB0LA_1LA1RC_1RD1RB_1LB---	nqh_h_00024	NGH_00.v	4	2	40	120000	54
0RB0LA_1LC0RA_1LD---_1RB0LC	nqh_h_00025	NGH_00.v	2	2	40	120000	43
0RB0LA_1LC0RC_1LA1RD_1RB1RC	nqh_h_00026	NGH_00.v	4	2	40	120000	74
0RB0LA_1RC---_0LC1RD_1LA1RB	nqh_h_00027	NGH_00.v	4	2	40	120000	116
0RB0LA_1RC---_1LA0LD_1RB1RD	nqh_h_00028	NGH_00.v	2	2	40	120000	53
0RB0LA_1RC---_1LA1LD_1RB1RD	nqh_h_00029	NGH_00.v	4	2	40	120000	66
0RB0LA_1RC---_1LA1RB_------	nqh_h_00030	NGH_00.v	2	2	40	120000	33
0RB0LA_1RC---_1LA1RD_0LD1RB	nqh_h_00031	NGH_00.v	2	2	40	120000	53
