machine	theorem	file	quiet_state	s	k	n	t	fuel	nctx
0RB---_0LC0RB_1LD---_1RB1LC	cqh_h_00000	NGHW_00.v	A	0	2	2	25	20000	33
0RB---_0LC0RB_1RB1LD_1LC---	cqh_h_00001	NGHW_00.v	A	0	2	2	25	20000	35
0RB---_0RC0LB_1LB1RD_1RC---	cqh_h_00002	NGHW_00.v	A	0	2	2	25	20000	35
0RB---_0RC0LB_1RD---_1LB1RC	cqh_h_00003	NGHW_00.v	A	0	2	2	25	20000	33
0RB---_1LC---_0LD0RC_1RC1LD	cqh_h_00004	NGHW_00.v	A	0	2	2	25	20000	66
0RB---_1LC---_0LD1RC_1RC1LD	cqh_h_00005	NGHW_00.v	A	0	2	2	25	20000	19
0RB---_1LC---_0RD0LC_1LC1RD	cqh_h_00006	NGHW_00.v	A	0	2	2	25	20000	66
0RB---_1LC---_0RD1LC_1LC1RD	cqh_h_00007	NGHW_00.v	A	0	2	2	25	20000	19
0RB---_1LC---_1LD0LD_1RD1LC	cqh_h_00008	NGHW_00.v	A	0	2	2	25	20000	9
0RB---_1LC---_1LD0RD_1RC0LC	cqh_h_00009	NGHW_00.v	A	0	2	2	25	20000	22
0RB---_1LC---_1LD1RC_0RC0LD	cqh_h_00010	NGHW_00.v	A	0	2	2	25	20000	66
0RB---_1LC---_1RD0LD_1LC0RC	cqh_h_00011	NGHW_00.v	A	0	2	2	25	20000	22
0RB---_1LC---_1RD1LB_0LB0RD	cqh_h_00012	NGHW_00.v	A	0	2	2	25	20000	33
0RB---_1LC---_1RD1LC_0LC0RD	cqh_h_00013	NGHW_00.v	A	0	2	2	25	20000	66
0RB---_1LC---_1RD1LC_0LC1RD	cqh_h_00014	NGHW_00.v	A	0	2	2	25	20000	19
0RB---_1LC0LA_1RD1LB_0LC0RD	cqh_h_00015	NGHW_00.v	A	9	2	2	34	20000	35
0RB---_1LC0RC_1RB0LD_1LD0LB	cqh_h_00016	NGHW_00.v	A	0	2	2	25	20000	24
0RB---_1LC1RD_0RB0LC_1RB---	cqh_h_00017	NGHW_00.v	A	0	2	2	25	20000	35
0RB---_1LC1RD_0RD0LC_1RB1LD	cqh_h_00018	NGHW_00.v	A	0	2	2	25	20000	33
0RB---_1RC---_0LD0RC_1RC1LD	cqh_h_00019	NGHW_00.v	A	0	2	2	25	20000	66
0RB---_1RC---_0LD1RC_1RC1LD	cqh_h_00020	NGHW_00.v	A	0	2	2	25	20000	19
0RB---_1RC---_0RD0LC_1LC1RD	cqh_h_00021	NGHW_00.v	A	0	2	2	25	20000	66
0RB---_1RC---_0RD1LC_1LC1RD	cqh_h_00022	NGHW_00.v	A	0	2	2	25	20000	19
0RB---_1RC---_1LD0RD_1RC0LC	cqh_h_00023	NGHW_00.v	A	0	2	2	25	20000	22
0RB---_1RC---_1LD1RB_0RB0LD	cqh_h_00024	NGHW_00.v	A	0	2	2	25	20000	33
0RB---_1RC---_1LD1RC_0RC0LD	cqh_h_00025	NGHW_00.v	A	0	2	2	25	20000	66
0RB---_1RC---_1LD1RC_0RC1LD	cqh_h_00026	NGHW_00.v	A	0	2	2	25	20000	19
0RB---_1RC---_1RD0LD_1LC0RC	cqh_h_00027	NGHW_00.v	A	0	2	2	25	20000	27
0RB---_1RC---_1RD0RD_1LD1RC	cqh_h_00028	NGHW_00.v	A	0	2	2	25	20000	9
0RB---_1RC---_1RD1LC_0LC0RD	cqh_h_00029	NGHW_00.v	A	0	2	2	25	20000	66
0RB---_1RC0LC_1LB0RD_1RD0RB	cqh_h_00030	NGHW_00.v	A	0	2	2	25	20000	24
0RB---_1RC1LD_0LB0RC_1LB---	cqh_h_00031	NGHW_00.v	A	0	2	2	25	20000	35
0RB---_1RC1LD_0LD0RC_1LB1RD	cqh_h_00032	NGHW_00.v	A	0	2	2	25	20000	33
0RB0LA_1RC1LD_1LA0RD_1LD1LB	cqh_h_00033	NGHW_00.v	A	4	4	2	29	20000	43
0RB0LC_1LA1RB_1RC1RD_1LA1RC	cqh_h_00034	NGHW_00.v	B	4	4	2	29	20000	43
0RB0LC_1LC0RA_1RD1LB_0LC0RD	cqh_h_00035	NGHW_00.v	A	9	2	2	34	20000	48
0RB0LC_1LC1RA_1RD1LB_0LC0RD	cqh_h_00036	NGHW_00.v	A	9	2	2	34	20000	48
0RB0LC_1RC0LA_1LD1RB_0RC0LD	cqh_h_00037	NGHW_00.v	A	9	2	2	34	20000	35
0RB0LC_1RC1LA_1LD1RB_0RC0LD	cqh_h_00038	NGHW_00.v	A	9	2	2	34	20000	35
0RB0LD_0LC1RA_1LA1RD_1RD1RC	cqh_h_00039	NGHW_00.v	B	6	4	2	31	20000	43
0RB0LD_0LC1RC_1LA1RD_1RD1RC	cqh_h_00040	NGHW_00.v	B	4	4	2	29	20000	43
0RB0LD_0RC1RC_1LA1RD_1RD1RC	cqh_h_00041	NGHW_00.v	B	4	4	2	29	20000	56
0RB0LD_1LA1RC_1LA1RD_1RD1RC	cqh_h_00042	NGHW_00.v	B	3	4	2	28	20000	43
0RB0LD_1LC0LD_1LA1RD_1RD1RC	cqh_h_00043	NGHW_00.v	B	4	4	2	29	20000	43
0RB0LD_1LC0RA_1RD1LB_0LC0RD	cqh_h_00044	NGHW_00.v	A	9	2	2	34	20000	46
0RB0LD_1LC0RD_1LA1RD_1RD1RC	cqh_h_00045	NGHW_00.v	B	4	4	2	29	20000	56
