machine	theorem	file	gate	quiet_state	s	n	t
1RB---_0LC0LC_1RC0RD_1LB1RD	qhb_00001	QHB_00.v	lex	A	0	2	1024
1RB---_0LC1RB_1RC0RD_1LB1RB	qhb_00002	QHB_00.v	lex	A	0	2	64
1RB---_0RC0RC_1LC0LD_1RB1LD	qhb_00003	QHB_00.v	lex	A	0	2	1024
1RB---_0RC1LB_1LC0LD_1RB1LB	qhb_00004	QHB_00.v	lex	A	0	2	256
1RB---_1LB0LC_1RD1LC_0RB0RB	qhb_00005	QHB_00.v	lex	A	0	2	256
1RB---_1LB0LC_1RD1LD_0RB1LD	qhb_00006	QHB_00.v	lex	A	0	2	1024
1RB---_1LC1RB_0LD0LD_1RD0RB	qhb_00007	QHB_00.v	lex	A	0	2	1024
1RB---_1LC1RC_0LD1RC_1RD0RB	qhb_00008	QHB_00.v	lex	A	0	2	1024
1RB---_1RC1LB_0RD0RD_1LD0LB	qhb_00009	QHB_00.v	lex	A	0	2	1024
1RB---_1RC1LC_0RD1LC_1LD0LB	qhb_00010	QHB_00.v	lex	A	0	2	256
