machine	theorem	file	gate	quiet_state	s	n	t	tier
1RB---_0RC0LC_1LC1RD_0LD0RB	cpq_00000	theories/Machines/ProvenQHStage/PQHS_00.v	plain	A	0	5	64	R_QH
1RB---_0RC0LD_1LC0RB_1RD0LC	cpq_00001	theories/Machines/ProvenQHStage/PQHS_00.v	plain	A	0	5	64	R_QH
1RB---_0RC0RC_1LC1RD_0LD0RB	cpq_00002	theories/Machines/ProvenQHStage/PQHS_00.v	plain	A	0	5	64	R_QH
1RB---_0RC0RC_1LC1RD_1LD0RB	cpq_00003	theories/Machines/ProvenQHStage/PQHS_00.v	plain	A	0	5	64	R_QH
1RB---_0RC1LD_1LC0RD_1RC0RB	cpq_00004	theories/Machines/ProvenQHStage/PQHS_00.v	plain	A	0	5	64	R_QH
1RB---_1LB0LC_1RC1LD_1RD0LB	cpq_00005	theories/Machines/ProvenQHStage/PQHS_00.v	plain	A	0	5	64	R_QH
1RB---_1LB1RC_0LC0RD_0RB0RB	cpq_00006	theories/Machines/ProvenQHStage/PQHS_00.v	plain	A	0	5	64	R_QH
1RB---_1LB1RC_1LC0RD_0RB0RB	cpq_00007	theories/Machines/ProvenQHStage/PQHS_00.v	plain	A	0	5	64	R_QH
1RB---_1LC---_1RD0LB_1LC0RC	cpq_00008	theories/Machines/ProvenQHStage/PQHS_00.v	lex	A	0	5	64	R_QH
1RB---_1LC0LC_1RC1LD_1RD0LB	cpq_00009	theories/Machines/ProvenQHStage/PQHS_00.v	plain	A	0	5	64	R_QH
1RB---_1LC0LD_1RC0LB_0LC1LC	cpq_00010	theories/Machines/ProvenQHStage/PQHS_00.v	plain	A	0	6	64	R_QH
1RB---_1LC0LD_1RC0LB_0LC1RB	cpq_00011	theories/Machines/ProvenQHStage/PQHS_00.v	plain	A	0	5	64	R_QH
1RB---_1LC0RB_0LB1RD_1RC0RD	cpq_00012	theories/Machines/ProvenQHStage/PQHS_00.v	lex	A	0	5	64	R_QH
1RB---_1LC0RC_1RB0LD_1LC---	cpq_00013	theories/Machines/ProvenQHStage/PQHS_00.v	lex	A	0	5	64	R_QH
1RB---_1LC0RD_1RB0LB_1RB---	cpq_00014	theories/Machines/ProvenQHStage/PQHS_00.v	lex	A	0	5	64	R_QH
1RB---_1LC1RC_0RB1LD_0LC0LD	cpq_00015	theories/Machines/ProvenQHStage/PQHS_00.v	lex	A	0	6	64	R_QH
1RB---_1RC---_1LD0RB_1RC0LC	cpq_00016	theories/Machines/ProvenQHStage/PQHS_00.v	lex	A	0	5	64	R_QH
1RB---_1RC0LC_1LB0RD_1RC---	cpq_00017	theories/Machines/ProvenQHStage/PQHS_00.v	lex	A	0	5	64	R_QH
1RB---_1RC0RD_1LC0RB_0RC1LB	cpq_00018	theories/Machines/ProvenQHStage/PQHS_00.v	plain	A	0	5	64	R_QH
1RB---_1RC0RD_1LC0RB_1LD1RC	cpq_00019	theories/Machines/ProvenQHStage/PQHS_00.v	plain	A	0	5	64	R_QH
