machine	quiet_state	s	n	t
0RB---_0LC---_0LD1LC_1RC1LD	B	1	2	64
0RB---_0LC---_0RD1RC_1LC1RD	B	1	2	64
0RB---_0LC---_1LD0RC_0RD1RC	B	1	2	64
0RB---_0LC---_1LD0RC_1RD1RC	B	1	2	64
0RB---_0LC---_1RD0LC_0LD1LC	B	1	2	64
0RB---_0LC---_1RD0LC_1LD1LC	B	1	2	64
0RB---_0LC0LB_0LD1LB_1RC1LD	A	0	2	64
0RB---_0LC0LB_1RB1RD_1LD1LC	A	0	2	64
0RB---_0LC0LB_1RD0RB_1LD1LC	A	0	2	64
0RB---_0LC0LB_1RD1LC_1RB0LB	A	0	2	256
0RB---_0LC0LB_1RD1LC_1RB1LB	A	0	2	256
0RB---_0LC0LB_1RD1LC_1RB1LD	A	0	2	64
0RB---_0LC0LB_1RD1LD_1RB1LC	A	0	2	64
0RB---_0LC0LB_1RD1RB_1LD1LC	A	0	2	64
0RB---_0LC0LC_0LD1LB_1RC1LD	A	0	2	64
0RB---_0LC0LC_1RD1LC_0LC1LB	A	0	2	64
0RB---_0LC0LC_1RD1LC_1LC0LB	A	0	2	64
0RB---_0LC0LC_1RD1LC_1LC1LB	A	0	2	64
0RB---_0LC0LD_0LD1LB_1RC1LD	A	0	2	64
0RB---_0LC0LD_0LD1LD_1RB1LB	A	0	2	64
0RB---_0LC0LD_0LD1LD_1RB1LC	A	0	2	64
0RB---_0LC0LD_1LD0LB_1RC0LB	A	0	2	64
0RB---_0LC0LD_1LD0LB_1RC0LC	A	0	2	64
0RB---_0LC0LD_1LD0LB_1RC1LB	A	0	2	64
0RB---_0LC0LD_1LD0LB_1RC1LC	A	0	2	64
0RB---_0LC0LD_1LD0LB_1RC1LD	A	0	2	64
0RB---_0LC0LD_1LD1LB_1RB0LD	A	0	2	64
0RB---_0LC0LD_1LD1LB_1RC0LB	A	0	2	64
0RB---_0LC0LD_1LD1LB_1RC0LC	A	0	2	64
0RB---_0LC0LD_1LD1LB_1RC0RC	A	0	2	64
0RB---_0LC0LD_1LD1LB_1RC1LB	A	0	2	64
0RB---_0LC0LD_1LD1LB_1RC1LC	A	0	2	64
0RB---_0LC0LD_1LD1LB_1RC1LD	A	0	2	64
0RB---_0LC0LD_1LD1LB_1RC1RB	A	0	2	64
0RB---_0LC0LD_1LD1LC_1RB0LD	A	0	2	64
0RB---_0LC0LD_1RB1LC_1LB0RD	A	0	2	64
0RB---_0LC0LD_1RD1LB_1RB0RC	A	0	3	64
0RB---_0LC0LD_1RD1LD_1RB0LD	A	0	2	64
0RB---_0LC0RB_0RD1LC_1RB1LB	A	0	2	1024
0RB---_0LC0RB_1LD0RC_1RB1RD	A	0	2	64
0RB---_0LC0RB_1RD1LD_1RB0RD	A	0	2	64
0RB---_0LC0RB_1RD1LD_1RB1LB	A	0	3	256
0RB---_0LC0RC_0LD1LB_1RC1LD	A	0	2	64
0RB---_0LC0RC_0RD1RB_1LC1RD	A	0	2	64
0RB---_0LC0RC_1LD1RC_0RC1RB	A	0	2	64
0RB---_0LC0RC_1LD1RC_1RC0RB	A	0	2	64
0RB---_0LC0RC_1LD1RC_1RC1RB	A	0	2	64
0RB---_0LC0RC_1RD0LD_1RB1LB	A	0	2	256
