machine	quiet_state	n	t	gate	ms	closure_size
0RB---_0LC---_0LD1RC_1RC1LD	B	2	1280	count-lex	65	15
0RB---_0LC---_0RD1LC_1LC1RD	B	2	1280	count-lex	66	15
0RB---_0LC---_0RD1LC_1RB1RD	A	2	1280	count-lex	198	19
0RB---_0LC---_1LD0RD_1RC0LC	B	3	1280	rank	81	14
0RB---_0LC---_1LD1RC_0RC1LD	B	2	1280	count-lex	63	15
0RB---_0LC---_1RD0LD_1LC0RC	B	3	1280	rank	69	14
0RB---_0LC---_1RD1LC_0LC1RD	B	2	1280	count-lex	60	15
0RB---_0LC0LD_1LD1RD_1RC1LB	A	2	1280	count-lex	117	36
0RB---_0LC0RB_1RB0LD_1LC1LD	A	3	1999	rank	183	25
0RB---_0LC0RB_1RB1LD_1RB0LD	A	2	1999	rank	92	17
0RB---_0LC0RB_1RB1LD_1RC0LD	A	2	1999	count-lex	118	28
0RB---_0LC0RC_0LD1LD_1RB0LB	A	2	1280	rank	95	20
0RB---_0LC0RC_0LD1LD_1RB0LC	A	2	1999	rank	100	19
0RB---_0LC0RC_0LD1LD_1RB0LD	A	2	1280	rank	84	17
0RB---_0LC0RC_0LD1LD_1RB1LB	A	2	1280	rank	89	22
0RB---_0LC0RC_0LD1LD_1RB1LC	A	2	1999	rank	105	21
0RB---_0LC0RC_0RD1LB_1LC1RD	A	2	1999	count-lex	248	44
0RB---_0LC0RC_1RB0LD_1RC1LC	A	2	1280	count-lex	181	48
0RB---_0LC0RC_1RD0RD_1LB1RC	A	2	1999	rank	98	18
0RB---_0LC0RD_1RB1LC_0LC1LB	A	2	1999	rank	114	20
0RB---_0LC0RD_1RB1LC_0LC1LD	A	2	1999	rank	114	20
0RB---_0LC0RD_1RB1LC_0LC1RB	A	2	1536	count-lex	233	34
0RB---_0LC0RD_1RD0RC_1LD1RB	A	2	1999	rank	148	14
0RB---_0LC0RD_1RD1LB_1RB0RD	A	2	1280	count-lex	207	36
0RB---_0LC0RD_1RD1LB_1RB1LD	A	2	1280	count-lex	184	34
0RB---_0LC0RD_1RD1LC_0LC1RB	A	2	1999	count-lex	252	41
0RB---_0LC0RD_1RD1LC_1LD1RB	A	2	1536	count-lex	250	41
0RB---_0LC0RD_1RD1RC_1LD1RB	A	2	1999	rank	142	18
