census_machine	upstream_tnf	upstream_status	cert_family	list	mode	nstates_after	dropped
0RB---_0LC---_0LD0RC_1RC1LD	1RB1LA_0LA0RB	none		B	reroot	2	2
0RB---_0LC---_0LD1RC_1RC1LD	1RB1LA_0LA1RB	none		B	reroot	2	2
0RB---_0LC---_0RD0LC_1LC1RD	1RB1LA_0LA0RB	none		B	reroot	2	2
0RB---_0LC---_0RD1LC_1LC1RD	1RB1LA_0LA1RB	none		B	reroot	2	2
0RB---_0LC---_0RD1LC_1RB1RD	1RB1RA_0LC---_0RA1LC	none		B	reroot	3	1
0RB---_0LC---_1LD0LD_1RD1LC	1RB0RB_1LB1RA	none		B	reroot	2	2
0RB---_0LC---_1LD0RD_1RC0LC	1RB0LB_1LA0RA	none		B	reroot	2	2
0RB---_0LC---_1LD1RC_0RC0LD	1RB1LA_0LA0RB	none		B	reroot	2	2
0RB---_0LC---_1LD1RC_0RC1LD	1RB1LA_0LA1RB	none		B	reroot	2	2
0RB---_0LC---_1RD0LD_1LC0RC	1RB0LB_1LA0RA	none		B	reroot	2	2
0RB---_0LC---_1RD0RD_1LD1RC	1RB0RB_1LB1RA	none		B	reroot	2	2
0RB---_0LC---_1RD1LC_0LC0RD	1RB1LA_0LA0RB	none		B	reroot	2	2
0RB---_0LC---_1RD1LC_0LC1RD	1RB1LA_0LA1RB	none		B	reroot	2	2
0RB---_0LC0LB_0RD1LB_1LC1RD	1RB1LA_0LA1RC_0RB0RC	none		B	reroot	3	1
0RB---_0LC0LB_1LD0RB_1RC1LC	1RB0LC_1LA1RA_0RA0RC	none		B	reroot	3	1
0RB---_0LC0LB_1LD1LC_1RD1RB	1RB1RA_1LB1LC_0RA0RC	none		B	reroot	3	1
0RB---_0LC0LB_1RD1LC_1LC0RB	1RB1LA_1LA0RC_0LA0LC	none		B	reroot	3	1
0RB---_0LC0LB_1RD1LC_1RB0RB	1RB1LA_1RC0RC_0LA0LC	none		B	reroot	3	1
0RB---_0LC0LB_1RD1LD_1RB1LB	1RB1LB_1RC1LC_0LA0LC	none		B	reroot	3	1
0RB---_0LC0LC_0RD1LB_1LC1RD	1RB1LA_0LA1RC_0RB0RB	none		B	reroot	3	1
0RB---_0LC0LC_1RD1LC_1RB0LB	1RB1LA_1RC0LC_0LA0LA	none		B	reroot	3	1
0RB---_0LC0LC_1RD1LC_1RB1LB	1RB1LA_1RC1LC_0LA0LA	none		B	reroot	3	1
0RB---_0LC0LD_0RD1LB_1LC1RD	1RB1LA_0LA1RC_0RB0RA	none		B	reroot	3	1
0RB---_0LC0LD_1LD1LB_1RD1RB	1RB1RC_1LB1LC_0RA0RB	none		B	reroot	3	1
0RB---_0LC0LD_1LD1RD_1RC1LB	1RB1LB_1LA1RC_0RA0RB	none		B	reroot	3	1
0RB---_0LC0LD_1RB1LD_1RD1LB	1RB1LC_0LA0LC_1RC1LB	none		B	reroot	3	1
0RB---_0LC0RA_0LD---_1RA1LC	1RB1LD_0RC---_0LD0RB_0LA---	none		C	reroot	4	0
0RB---_0LC0RA_0LD1LC_1RA1RB	1RB1RC_0RC---_0LD0RB_0LA1LD	none		C	reroot	4	0
0RB---_0LC0RA_0LD1RA_1RB1LC	1RB1LC_0LC0RD_0LA1RD_0RB---	none		C	reroot	4	0
0RB---_0LC0RA_1RB0LD_1LC---	1RB0LC_0LA0RD_1LA---_0RB---	none		C	reroot	4	0
0RB---_0LC0RB_0LD1LD_1RB1LC	1RB1LC_0LC0RB_0LA1LA	none		B	reroot	3	1
0RB---_0LC0RB_0RD1LB_1LC1RD	1RB1LA_0LA1RC_0RB0LC	none		B	reroot	3	1
0RB---_0LC0RB_1LD---_1RB1LC	1RB---_1LC1RA_0RA0LC	none		C	reroot	3	1
0RB---_0LC0RB_1LD---_1RB1LD	1RB---_1LC1RB_0RA0LC	none		B	reroot	3	1
0RB---_0LC0RB_1LD0LC_1RB0LD	1RB0RA_1LC0RB_0RA0LC	none		B	reroot	3	1
0RB---_0LC0RB_1LD0RB_1RB0LD	1RB0LC_1LC0RB_0RA0LC	none		B	reroot	3	1
0RB---_0LC0RB_1LD0RB_1RC1LC	1RB0LC_1LA1RA_0RA0LC	none		B	reroot	3	1
0RB---_0LC0RB_1LD0RB_1RC1LD	1RB0LC_1LA1RB_0RA0LC	none		B	reroot	3	1
0RB---_0LC0RB_1LD0RC_1RB0LD	1RB0LA_1LC0RB_0RA0LC	none		B	reroot	3	1
