machine,status,quiet_state,t,ngram_n,score_state,qh_state
1RB---_0LB0LC_0LD0RC_1RC1LD,quiet_state,A,5000000,2,1,T
1RB---_0LB0LC_0LD1RC_1RC1LD,quiet_state,A,5000000,2,1,T
1RB---_0LB0LC_0RD0LC_1LC1RD,quiet_state,A,5000000,2,1,T
1RB---_0LB0LC_0RD1LC_1LC1RD,quiet_state,A,5000000,2,1,T
1RB---_0LB0LC_1LD0LD_1RD1LC,quiet_state,A,5000000,2,1,T
1RB---_0LB0LC_1LD0RD_1RC0LC,quiet_state,A,5000000,2,1,T
1RB---_0LB0LC_1LD1RC_0RC0LD,quiet_state,A,5000000,2,1,T
1RB---_0LB0LC_1LD1RC_0RC1LD,quiet_state,A,5000000,2,1,T
1RB---_0LB0LC_1RD0LD_1LC0RC,quiet_state,A,5000000,2,1,T
1RB---_0LB0LC_1RD0RD_1LD1RC,quiet_state,A,5000000,2,1,T
1RB---_0LB0LC_1RD1LC_0LC0RD,quiet_state,A,5000000,2,1,T
1RB---_0LB0LC_1RD1LC_0LC1RD,quiet_state,A,5000000,2,1,T
1RB---_0LB0LC_1RD1LC_1RB0RD,quiet_state,A,5000000,2,1,T
1RB---_0LB0LC_1RD1LC_1RB1LB,quiet_state,A,5000000,2,1,T
1RB---_0LB0LC_1RD1LC_1RB1RD,quiet_state,A,5000000,2,1,T
1RB---_0LB0RC_0LD0RC_1RC1LD,quiet_state,A,5000000,2,1,T
1RB---_0LB0RC_0LD1RB_1RC1LD,quiet_state,A,5000000,2,1,T
1RB---_0LB0RC_0LD1RC_1RC1LD,quiet_state,A,5000000,2,1,T
1RB---_0LB0RC_0RD0LC_1LC1RD,quiet_state,A,5000000,2,1,T
1RB---_0LB0RC_0RD1LC_1LC1RD,quiet_state,A,5000000,2,1,T
1RB---_0LB0RC_1LD0LD_1RD1LC,quiet_state,A,5000000,2,1,T
1RB---_0LB0RC_1LD0RD_1RC0LC,quiet_state,A,5000000,2,1,T
1RB---_0LB0RC_1LD1RC_0RC0LD,quiet_state,A,5000000,2,1,T
1RB---_0LB0RC_1LD1RC_0RC1LD,quiet_state,A,5000000,2,1,T
1RB---_0LB0RC_1RD0LD_1LC0RC,quiet_state,A,5000000,2,1,T
1RB---_0LB0RC_1RD0RD_1LD1RC,quiet_state,A,5000000,2,1,T
1RB---_0LB0RC_1RD1LC_0LC0RD,quiet_state,A,5000000,2,1,T
1RB---_0LB0RC_1RD1LC_0LC1RD,quiet_state,A,5000000,2,1,T
1RB---_0LB1LC_0LD0LC_1RD0LB,quiet_state,A,5000000,2,1,T
1RB---_0LB1LC_0LD0LC_1RD0RB,quiet_state,A,5000000,2,1,T
1RB---_0LB1LC_0LD0LC_1RD1LB,quiet_state,A,5000000,2,1,T
1RB---_0LB1LC_0LD0LC_1RD1LC,quiet_state,A,5000000,2,1,T
1RB---_0LB1LC_0LD0LC_1RD1RB,quiet_state,A,5000000,2,1,T
1RB---_0LB1LC_0LD0RB_1RC1LD,quiet_state,A,5000000,2,1,T
1RB---_0LB1LC_0LD0RC_1RC1LD,quiet_state,A,5000000,2,1,T
1RB---_0LB1LC_0LD1LC_1RD0RB,quiet_state,A,5000000,2,1,T
1RB---_0LB1LC_0LD1RC_1RC1LD,quiet_state,A,5000000,2,1,T
1RB---_0LB1LC_0RC1LD_1RC0LD,quiet_state,A,5000000,2,1,T
1RB---_0LB1LC_0RC1RD_1LB0RD,quiet_state,A,5000000,2,1,T
1RB---_0LB1LC_0RD0LC_1LC1RD,quiet_state,A,5000000,2,1,T
1RB---_0LB1LC_0RD0RC_1LD1RC,quiet_state,A,5000000,2,1,T
1RB---_0LB1LC_0RD1LC_1LB1RD,quiet_state,A,5000000,2,1,T
1RB---_0LB1LC_0RD1LC_1LC1RD,quiet_state,A,5000000,2,1,T
1RB---_0LB1LC_0RD1LC_1RB1RD,quiet_state,A,5000000,2,1,T
