machine,status,steps,qh,score,anchor,period_records,period_steps,reach,extent,records_l,records_r,TA0_class,TA0_count,TA0_last,TA1_class,TA1_count,TA1_last,TB0_class,TB0_count,TB0_last,TB1_class,TB1_count,TB1_last,TC0_class,TC0_count,TC0_last,TC1_class,TC1_count,TC1_last,TD0_class,TD0_count,TD0_last,TD1_class,TD1_count,TD1_last
1RB---_0LB1RC_0RD---_1LB0RC,undecided,100000000,?,0,0,0,0,0,49,0,48,U,1,1,N,0,0,U,37499992,99999998,U,12500008,99999999,U,25000000,100000000,N,0,0,U,12500007,99999997,U,12499992,99999989
1RB---_0LB1RC_1LB0RD_0RC---,undecided,100000000,?,0,0,0,0,0,48,0,47,U,1,1,N,0,0,U,33333325,99999998,U,16666675,99999999,U,16666675,100000000,U,16666662,99999994,U,16666662,99999995,N,0,0
1RB---_0LB1RC_1LD1RA_0RA0LD,undecided,100000000,?,0,0,0,0,0,37,1,35,U,16666667,99999997,N,0,0,U,8333336,99999992,U,16666667,99999998,U,12500006,99999999,U,4166661,99999981,U,12500005,99999996,U,29166658,100000000
1RB---_0LC0LA_1LB1RD_1LC0RD,undecided,100000000,?,0,0,0,0,0,48,23,24,U,24,50331668,N,0,0,U,16666658,99999993,U,23,50331667,U,16666657,99999992,U,16666672,99999996,U,16666671,99999995,U,33333295,100000000
1RB---_0LC0LB_1RC1RD_1LB---,undecided,100000000,?,0,0,0,0,0,17320,11546,5773,U,1,1,N,0,0,U,5774,99988362,U,49988407,99988361,U,49994272,100000000,U,5773,99971043,U,5773,99971044,N,0,0
1RB---_0LC0LB_1RD1LB_1RC---,undecided,100000000,?,0,0,0,0,0,14144,14142,1,U,1,1,N,0,0,U,7072,99998084,U,49991970,99998083,U,24996943,99999999,U,7071,99983943,U,24996943,100000000,N,0,0
1RB---_0LC0LD_1RC1LB_---0LB,undecided,100000000,?,0,0,0,0,0,14144,14142,1,U,1,1,N,0,0,U,7072,99998084,U,24995985,99998082,U,49993886,100000000,U,7071,99983943,N,0,0,U,24995985,99998083
1RB---_0LC0RB_0LD1LC_1RA1RD,undecided,100000000,?,0,0,0,0,0,49,46,2,U,12500007,99999992,N,0,0,U,12500007,99999993,U,24999983,99999988,U,12500007,100000000,U,24999989,99999999,U,12500006,99999991,U,1,10
1RB---_0LC0RB_1LC1LD_1RB---,undecided,100000000,?,0,0,0,0,0,10001,9999,1,U,1,1,N,0,0,U,9999,99990000,U,49985001,99989999,U,49985001,99999998,U,9999,99999999,U,9999,100000000,N,0,0
1RB---_0LC0RB_1LD1LA_0RC1LC,undecided,100000000,?,0,0,0,0,0,49,47,1,U,10000005,99999998,N,0,0,U,10000004,99999990,U,29999991,100000000,U,19999998,99999995,U,10000004,99999997,U,10000003,99999996,U,9999995,99999994
1RB---_0LC0RB_1LD1LA_1RB1LC,undecided,100000000,?,0,0,0,0,0,49,47,1,U,2,4,N,0,0,U,12500008,99999998,U,37499991,99999997,U,24999999,99999999,U,1,3,U,12500006,99999996,U,12499993,100000000
