machine,status,anchor,k0,meta_a,meta_b,kmin,nrules,qh,score
1RB---_0LB1RC_0RD---_1LB0RC,undecided,0,0,0,0,0,0,?,0
1RB---_0LB1RC_1LB0RD_0RC---,undecided,0,0,0,0,0,0,?,0
1RB---_0LB1RC_1LD1RA_0RA0LD,undecided,0,0,0,0,0,0,?,0
1RB---_0LC0LA_1LB1RD_1LC0RD,undecided,0,0,0,0,0,0,?,0
1RB---_0LC0LB_1RC1RD_1LB---,irules,199952,773,1,3,1,0,T,1
1RB---_0LC0LB_1RD1LB_1RC---,irules,199714,315,1,1,2,1,T,1
1RB---_0LC0LD_1RC1LB_---0LB,irules,199714,315,1,1,2,1,T,1
1RB---_0LC0RB_0LD1LC_1RA1RD,undecided,0,0,0,0,0,0,?,0
1RB---_0LC0RB_1LC1LD_1RB---,irules,199808,446,1,1,1,0,T,1
1RB---_0LC0RB_1LD1LA_0RC1LC,undecided,0,0,0,0,0,0,?,0
1RB---_0LC0RB_1LD1LA_1RB1LC,undecided,0,0,0,0,0,0,?,0
1RB---_0LC0RB_1RB1LD_1LC---,undecided,0,0,0,0,0,0,?,0
1RB---_0LC0RD_0LD1LC_1RA0RB,undecided,0,0,0,0,0,0,?,0
1RB---_0LC0RD_1LA1LC_0LA0RB,undecided,0,0,0,0,0,0,?,0
1RB---_0LC0RD_1RD1LC_0LA1RB,undecided,0,0,0,0,0,0,?,0
1RB---_0LC1LD_0RC1LA_1RC0LD,undecided,0,0,0,0,0,0,?,0
1RB---_0LC1RA_0LD0RB_1LA1LC,undecided,0,0,0,0,0,0,?,0
1RB---_0LC1RA_1LD1RC_0RA0LD,undecided,0,0,0,0,0,0,?,0
1RB---_0LC1RB_1LA1LD_1LC0RB,undecided,0,0,0,0,0,0,?,0
1RB---_0LC1RB_1LD0RB_1LA1LC,undecided,0,0,0,0,0,0,?,0
1RB---_0LC1RB_1RD1LC_1RA0RB,irules,197003,121,1,3,3,1,F,0
1RB---_0LC1RC_0LD0RC_1LA1LD,undecided,0,0,0,0,0,0,?,0
1RB---_0LC1RC_0RC1LD_1LA0LD,undecided,0,0,0,0,0,0,?,0
1RB---_0LC1RD_---1LD_1RB0LC,irules,199396,315,1,1,10,1,T,1
1RB---_0LC1RD_1LA1LC_0LA0RD,undecided,0,0,0,0,0,0,?,0
1RB---_0RC---_1LD0RB_0LD1RB,undecided,0,0,0,0,0,0,?,0
1RB---_0RC0LB_1LB1RD_1RC---,undecided,0,0,0,0,0,0,?,0
1RB---_0RC0LB_1RD---_1LB1RC,undecided,0,0,0,0,0,0,?,0
1RB---_0RC0RB_1LC1LD_1RB---,irules,199434,772,1,3,1,0,T,1
1RB---_0RC0RB_1LD1LA_1LC1RB,irules,199078,315,1,1,2,1,T,6
1RB---_0RC0RB_1LD1RB_1LC---,irules,199712,315,1,1,2,1,T,1
1RB---_0RC0RD_1LC1RB_---0RB,irules,199712,315,1,1,2,1,T,1
1RB---_0RC1LD_1LA1RD_1LB0RC,irules,199393,315,1,1,10,1,T,4
1RB---_0RC1RB_1LC0LD_0RA0LC,undecided,0,0,0,0,0,0,?,0
