machine,status,anchor,k0,meta_a,meta_b,kmin,nrules,qh,score
1RB---_0LB1RC_1LD1RA_0RA0LD,undecided,0,0,0,0,0,0,?,0
1RB---_0LC0LA_1LB1RD_1LC0RD,undecided,0,0,0,0,0,0,?,0
1RB---_0LC0RB_0LD1LC_1RA1RD,undecided,0,0,0,0,0,0,?,0
1RB---_0LC0RB_1LD1LA_0RC1LC,undecided,0,0,0,0,0,0,?,0
1RB---_0LC0RB_1LD1LA_1RB1LC,undecided,0,0,0,0,0,0,?,0
1RB---_0LC0RB_1RB1LD_1LC---,undecided,0,0,0,0,0,0,?,0
1RB---_0LC0RD_0LD1LC_1RA0RB,undecided,0,0,0,0,0,0,?,0
1RB---_0LC0RD_1LA1LC_0LA0RB,undecided,0,0,0,0,0,0,?,0
1RB---_0LC0RD_1RD1LC_0LA1RB,undecided,0,0,0,0,0,0,?,0
1RB---_0LC1RA_0LD0RB_1LA1LC,undecided,0,0,0,0,0,0,?,0
1RB---_0LC1RA_1LD1RC_0RA0LD,undecided,0,0,0,0,0,0,?,0
1RB---_0LC1RB_1LA1LD_1LC0RB,undecided,0,0,0,0,0,0,?,0
1RB---_0LC1RB_1LD0RB_1LA1LC,undecided,0,0,0,0,0,0,?,0
1RB---_0LC1RC_0LD0RC_1LA1LD,undecided,0,0,0,0,0,0,?,0
1RB---_0LC1RC_0RC1LD_1LA0LD,undecided,0,0,0,0,0,0,?,0
1RB---_0LC1RD_1LA1LC_0LA0RD,undecided,0,0,0,0,0,0,?,0
1RB---_0RC0LB_1LB1RD_1RC---,undecided,0,0,0,0,0,0,?,0
1RB---_0RC0LB_1RD---_1LB1RC,undecided,0,0,0,0,0,0,?,0
1RB---_0RC1RB_1LC0LD_0RA0LC,undecided,0,0,0,0,0,0,?,0
