machine,status,anchor,k0,meta_a,meta_b,kmin,nrules,qh,score
1RB---_0LC1RD_---1LD_1RB0LC,irules,199396,315,1,1,10,1,T,1
1RB---_1LB1LC_1RD---_0LB0RD,irules,199803,446,1,1,1,0,T,1
1RB---_1LC---_1RD0LC_1RD1RB,irules,199396,631,1,2,1,0,T,1
1RB---_1LC0RA_1RC0LD_0LC1RA,undecided,0,0,0,0,0,0,?,0
1RB---_1LC0RB_0LC0RD_0LA1LA,undecided,0,0,0,0,0,0,?,0
1RB---_1LC0RB_0LC0RD_1LA1LA,undecided,0,0,0,0,0,0,?,0
1RB---_1LC0RB_1LB1LD_1RB---,irules,199396,315,1,1,2,1,T,1
1RB---_1LC0RB_1LD1LA_0LC0RC,undecided,0,0,0,0,0,0,?,0
1RB---_1LC1RA_0RB0LD_1RC0LC,undecided,0,0,0,0,0,0,?,0
1RB---_1LC1RA_0RB0LD_1RD0LC,undecided,0,0,0,0,0,0,?,0
1RB---_1LC1RA_0RD0LC_1LC1RB,undecided,0,0,0,0,0,0,?,0
1RB---_1LC1RB_1LA0LD_0RB1LD,irules,196921,121,1,3,3,1,F,0
1RB---_1RC0LD_1LB1RA_0RA0LD,undecided,0,0,0,0,0,0,?,0
1RB---_1RC0RD_1LD1RA_0RC0LD,undecided,0,0,0,0,0,0,?,0
1RB---_1RC1LD_1LB1RC_---1LB,irules,199395,315,1,1,1,1,T,1
1RB0LA_0LC0RB_1LC0RD_1LA1RD,undecided,0,0,0,0,0,0,?,0
1RB0LA_0RC0RB_1LC0LD_1RA1LD,irules,199218,65,1,1,1,0,F,0
1RB0LA_0RC1LA_0RD1LA_1LD0RC,irules,199985,951,1,1,1,2,F,0
1RB0LA_0RC1LD_1LD0LA_1LB1LA,irules,199986,3029,1,1,1,2,F,0
1RB0LA_0RC1RA_0LD0RB_1LD1LB,undecided,0,0,0,0,0,0,?,0
1RB0LA_1LC0LC_1LA0RD_1RD0RB,undecided,0,0,0,0,0,0,?,0
1RB0LA_1LC0RD_1LA0LC_1LA1RA,irules,199995,1752,1,1,1,4,F,0
1RB0LA_1LC1LA_1RD0LB_1LA0RC,irules,199999,5261,1,1,1,0,F,0
1RB0LA_1LC1RA_0RC0LD_1RD0LB,irules,199965,2701,1,1,1,1,F,0
1RB0LA_1LC1RD_1LA0RC_1RC---,undecided,0,0,0,0,0,0,?,0
1RB0LA_1RC1RA_1LD0RB_0RA0LC,irules,85965,254,2,2,6,1,F,0
1RB0LB_0LB1RC_1RD0RC_1LA0LC,undecided,0,0,0,0,0,0,?,0
1RB0LB_0LC0LA_1RC1LD_1LA1RD,irules,199998,4877,1,1,1,2,F,0
1RB0LB_1LA0LC_0LB0RD_1RD1LA,undecided,0,0,0,0,0,0,?,0
1RB0LB_1LA0RC_0RD0RB_1LD1RC,irules,199719,315,1,1,2,1,T,5
1RB0LB_1LC0LA_1LB1RD_1RC0RC,undecided,0,0,0,0,0,0,?,0
1RB0LB_1LC0LC_0RA1RD_1LA0RD,undecided,0,0,0,0,0,0,?,0
1RB0LB_1LC1RD_0RA0LC_1LB0RD,undecided,0,0,0,0,0,0,?,0
1RB0LB_1RC1LB_0LD0RC_1RD1LA,undecided,0,0,0,0,0,0,?,0
1RB0LB_1RC1LD_1RD0RC_1LB1LA,undecided,0,0,0,0,0,0,?,0
1RB0LC_0LA1LC_1RD0LB_0LB1RC,irules,199399,315,1,1,10,1,T,3
1RB0LC_0LA1RD_1LD1LA_0RB---,undecided,0,0,0,0,0,0,?,0
1RB0LC_0LC0RD_1LC1LA_1RA1LA,irules,199503,105,1,1,6,3,F,0
1RB0LC_0RC0RD_1LB0LD_1LA1RD,irules,199979,1979,1,1,1,5,F,0
1RB0LC_0RC0RD_1LC1LA_1RA1LB,irules,199213,148,1,1,1,0,F,0
1RB0LC_1LA---_1RC1LD_1RD0LA,irules,199998,9524,1,1,3,1,T,2
1RB0LC_1LA---_1RD1LC_0RD0LA,undecided,0,0,0,0,0,0,?,0
1RB0LC_1LA0LC_0LB0RD_1RD0RC,undecided,0,0,0,0,0,0,?,0
1RB0LC_1LA0LD_1RC1LB_0LB0RC,undecided,0,0,0,0,0,0,?,0
