machine	L	T	t	gate	ms	nodes	pops
0RB---_1RC0LD_1LB0RD_1LB1RA	5	2	0	measure-lex	57	917	953
0RB---_1RC0LD_1RD0RA_1LB0LC	7	2	0	plain-rank	142	283	284
0RB---_1RC0LD_1RD0RD_1LB1RA	5	2	0	measure-lex	67	958	995
0RB0LA_1RC1LA_0RD0RD_1LD1LB	6	2	0	plain-rank	52	1081	1082
0RB0LA_1RC1LA_1LA0RD_1LD1LB	6	2	0	plain-rank	56	1205	1206
0RB0LA_1RC1LA_1LC0RD_1LD1LB	6	2	0	plain-rank	64	1205	1206
0RB0LB_1LA0RC_1LD1RD_1LB1RB	5	2	0	measure-lex	171	2080	2157
0RB0LB_1RC1LC_0RD1LA_1LD0LB	7	2	0	plain-rank	94	614	615
0RB0LB_1RC1RD_1LD0RB_1RA0LC	6	2	0	plain-rank	104	142	143
0RB0LC_1LC0LD_1RD0RA_1LB0RC	7	2	0	plain-rank	128	371	372
0RB0LC_1LC1RA_1LA1LD_1RB1LA	7	2	0	plain-rank	90	650	651
0RB0LC_1LC1RA_1LA1LD_1RB1LB	5	2	0	plain-rank	58	1706	1707
0RB0LC_1LC1RD_1LA1LD_1RA0LD	6	2	0	plain-rank	78	1389	1390
0RB0LC_1RC0LD_1LA0RD_1LB1RA	5	2	0	measure-lex	91	1235	1275
0RB0LC_1RC0RD_1LA0RB_1RD1RA	5	2	0	plain-rank	2	119	120
0RB0LC_1RC0RD_1RD0RA_1LD0LA	5	2	0	plain-rank	7	363	364
0RB0LC_1RC1RB_1LA0RD_1LD1LA	6	2	0	measure-lex	755	1524	1574
0RB0LC_1RC1RD_1LA0RB_1LC1RA	5	2	0	plain-rank	2	137	138
0RB0LD_0LC1LD_1LA0RD_1RC1LB	5	2	0	measure-lex	54	902	938
0RB0LD_0LC1RD_1LA0RD_1RC1LB	5	2	0	measure-lex	281	2867	2981
0RB0LD_1LA1RC_0RD1RD_1RB1LA	5	2	0	measure-lex	32	633	649
0RB0LD_1LC0RA_0LD1RA_1RD0LC	5	2	0	plain-rank	43	1563	1601
0RB0LD_1RC0LD_1LA0RD_1LB1RA	5	2	0	measure-lex	64	917	953
