machine	theorem	file	L	T	t	contexts
1RB0LB_0LC0LA_1RC0RD_1LB1LA	nqh_1RB0LB_0LC0LA_1RC0RD_1LB1LA	theories/Machines/RepWL_Batch_01.v	2	2	0	489
1RB0LB_0LC0LA_1RD1LC_1RC1RA	nqh_1RB0LB_0LC0LA_1RD1LC_1RC1RA	theories/Machines/RepWL_Batch_01.v	2	2	0	397
1RB0LB_0LC0LA_1RD1LC_1RD1RA	nqh_1RB0LB_0LC0LA_1RD1LC_1RD1RA	theories/Machines/RepWL_Batch_01.v	2	2	0	397
1RB0LB_0LC0LB_1RD1LC_1RC1RA	nqh_1RB0LB_0LC0LB_1RD1LC_1RC1RA	theories/Machines/RepWL_Batch_01.v	2	2	0	397
1RB0LB_0LC0LB_1RD1LC_1RD1RA	nqh_1RB0LB_0LC0LB_1RD1LC_1RD1RA	theories/Machines/RepWL_Batch_01.v	2	2	0	397
1RB0LB_0RC0RD_1LC1LA_1RA1RD	nqh_1RB0LB_0RC0RD_1LC1LA_1RA1RD	theories/Machines/RepWL_Batch_01.v	3	2	0	4317
1RB0LB_1LA0RC_0RD0RB_1LD1LB	nqh_1RB0LB_1LA0RC_0RD0RB_1LD1LB	theories/Machines/RepWL_Batch_01.v	2	2	0	1216
1RB0LB_1LA0RC_1LD0RB_1LD1LA	nqh_1RB0LB_1LA0RC_1LD0RB_1LD1LA	theories/Machines/RepWL_Batch_01.v	2	3	0	1411
1RB0LB_1LC0LA_0RC0LD_1RD1RB	nqh_1RB0LB_1LC0LA_0RC0LD_1RD1RB	theories/Machines/RepWL_Batch_01.v	2	2	0	479
1RB0LB_1RC1RB_1LD0RC_1LC1LA	nqh_1RB0LB_1RC1RB_1LD0RC_1LC1LA	theories/Machines/RepWL_Batch_01.v	2	2	0	333
1RB0LC_0LC0LD_1RC1RD_1LA0LB	nqh_1RB0LC_0LC0LD_1RC1RD_1LA0LB	theories/Machines/RepWL_Batch_01.v	2	2	0	448
1RB0LC_0LC0RB_1RC1RD_1LA0LD	nqh_1RB0LC_0LC0RB_1RC1RD_1LA0LD	theories/Machines/RepWL_Batch_01.v	2	2	0	481
1RB0LC_0LC1RC_1RC1RD_1LA0LD	nqh_1RB0LC_0LC1RC_1RC1RD_1LA0LD	theories/Machines/RepWL_Batch_01.v	2	2	0	463
1RB0LC_1LA1RC_0RB1RD_1LA0LD	nqh_1RB0LC_1LA1RC_0RB1RD_1LA0LD	theories/Machines/RepWL_Batch_01.v	2	2	0	583
1RB0LC_1LA1RC_1RC1RD_1LA0LD	nqh_1RB0LC_1LA1RC_1RC1RD_1LA0LD	theories/Machines/RepWL_Batch_01.v	2	2	0	461
1RB0LC_1RC1RA_1LA0RD_1RD0RB	nqh_1RB0LC_1RC1RA_1LA0RD_1RD0RB	theories/Machines/RepWL_Batch_01.v	4	2	0	2889
1RB0LD_0LC0RA_1LA1RD_1RC1LB	nqh_1RB0LD_0LC0RA_1LA1RD_1RC1LB	theories/Machines/RepWL_Batch_01.v	2	2	0	421
1RB0LD_0LC1RD_0RB1LC_1RB1LA	nqh_1RB0LD_0LC1RD_0RB1LC_1RB1LA	theories/Machines/RepWL_Batch_01.v	2	2	0	739
1RB0LD_1LC0LB_0RA1LA_1RD1RB	nqh_1RB0LD_1LC0LB_0RA1LA_1RD1RB	theories/Machines/RepWL_Batch_01.v	2	2	0	452
1RB0LD_1LC0RA_1LA1LB_1LD0LC	nqh_1RB0LD_1LC0RA_1LA1LB_1LD0LC	theories/Machines/RepWL_Batch_01.v	4	2	0	2897
1RB0LD_1LC0RA_1RD1LB_1RC1LA	nqh_1RB0LD_1LC0RA_1RD1LB_1RC1LA	theories/Machines/RepWL_Batch_01.v	2	2	0	290
1RB0LD_1LC1RA_1LB1RD_1LA0RC	nqh_1RB0LD_1LC1RA_1LB1RD_1LA0RC	theories/Machines/RepWL_Batch_01.v	2	2	0	272
