# wave-2 reroot untapped list-B <=3 cores NOT boarded (80 total)
# reason=no_silent_state: no closed_b-certifiable silent prefix state (qh_reroot QuasiHaltsSt witness unbuildable)
# reason=no_recipe: core not decided NeverQuasiHaltsSt by rw_tier/rank_tier/ngram ladder
machine	reason
0RB1LA_0LC1RD_0LD---_1LA1RD	no_silent_state
0RB1LA_0LC1RD_0RD---_1LA1RD	no_silent_state
0RB1LA_0RC1RD_0LD---_1LA1RD	no_silent_state
0RB1LA_0RC1RD_0RD---_1LA1RD	no_silent_state
0RB1LC_0LC---_1RD0LC_0LA1RC	no_silent_state
0RB1LC_0LC---_1RD0LC_0LA1RD	no_silent_state
0RB1LC_0LC---_1RD0LC_1LA0RC	no_silent_state
0RB1LC_0LC---_1RD0LC_1LA1RA	no_silent_state
0RB1LC_0LC---_1RD0LC_1LA1RD	no_silent_state
0RB1LC_0LC---_1RD0RC_0LA1RC	no_silent_state
0RB1LC_0LC---_1RD1LC_0LA1RD	no_silent_state
0RB1LC_0RC---_1RD0LC_0LA1RC	no_silent_state
0RB1LC_0RC---_1RD0LC_0LA1RD	no_silent_state
0RB1LC_0RC---_1RD0LC_1LA0RC	no_silent_state
0RB1LC_0RC---_1RD0LC_1LA1RA	no_silent_state
0RB1LC_0RC---_1RD0LC_1LA1RD	no_silent_state
0RB1LC_0RC---_1RD0RC_0LA1RC	no_silent_state
0RB1LC_0RC---_1RD1LC_0LA1RD	no_silent_state
0RB1LD_0LC1RD_0LD---_1LA0LD	no_silent_state
0RB1LD_0LC1RD_0LD---_1LA0RD	no_silent_state
0RB1LD_0LC1RD_0RD---_1LA0LD	no_silent_state
0RB1LD_0LC1RD_0RD---_1LA0RD	no_silent_state
0RB1LD_0RC1RD_0LD---_1LA0LD	no_silent_state
0RB1LD_0RC1RD_0LD---_1LA0RD	no_silent_state
0RB1LD_0RC1RD_0RD---_1LA0LD	no_silent_state
0RB1LD_0RC1RD_0RD---_1LA0RD	no_silent_state
0RB1RC_0LC---_1LD0LC_0RA1LC	no_silent_state
0RB1RC_0LC---_1LD0RC_0RA1LC	no_silent_state
0RB1RC_0LC---_1LD0RC_0RA1LD	no_silent_state
0RB1RC_0LC---_1LD0RC_1RA0LC	no_silent_state
0RB1RC_0LC---_1LD0RC_1RA1LA	no_silent_state
0RB1RC_0LC---_1LD0RC_1RA1LD	no_silent_state
0RB1RC_0LC---_1LD1RC_0RA1LD	no_silent_state
0RB1RC_0RC---_1LD0LC_0RA1LC	no_silent_state
0RB1RC_0RC---_1LD0RC_0RA1LC	no_silent_state
0RB1RC_0RC---_1LD0RC_0RA1LD	no_silent_state
0RB1RC_0RC---_1LD0RC_1RA0LC	no_silent_state
0RB1RC_0RC---_1LD0RC_1RA1LA	no_silent_state
0RB1RC_0RC---_1LD0RC_1RA1LD	no_silent_state
0RB1RC_0RC---_1LD1RC_0RA1LD	no_silent_state
0RB---_1LC---_0LD0LC_1RD1LC	no_recipe
0RB---_1LC---_0LD0RC_1RC1LD	no_recipe
0RB---_1LC---_0LD1RC_1RC1LD	no_recipe
0RB---_1LC---_0RC1LD_1RC0LD	no_recipe
0RB---_1LC---_0RD0LC_1LC1RD	no_recipe
0RB---_1LC---_0RD0RC_1LD1RC	no_recipe
0RB---_1LC---_0RD1LC_1LC1RD	no_recipe
0RB---_1LC---_1LD0LD_1RD1LC	no_recipe
0RB---_1LC---_1LD0RD_1RC0LC	no_recipe
0RB---_1LC---_1LD1RC_0RC0LD	no_recipe
0RB---_1LC---_1RC1LD_0LC0LD	no_recipe
0RB---_1LC---_1RC1LD_1RC0LD	no_recipe
0RB---_1LC---_1RD0LC_0RD1LC	no_recipe
0RB---_1LC---_1RD0LC_1RD1LC	no_recipe
0RB---_1LC---_1RD0LD_1LC0RC	no_recipe
0RB---_1LC---_1RD1LC_0LC0RD	no_recipe
0RB---_1LC---_1RD1LC_0LC1RD	no_recipe
0RB---_1LC0LC_1RC1RD_1LB0RB	no_recipe
0RB---_1LC0RC_1RB0LD_1LD0LB	no_recipe
0RB---_1LC1RD_0RD0LC_1RB1LD	no_recipe
0RB---_1RC---_0LC1RD_1LC0RD	no_recipe
0RB---_1RC---_0LD0LC_1RD1LC	no_recipe
0RB---_1RC---_0LD0RC_1RC1LD	no_recipe
0RB---_1RC---_0LD1RC_1RC1LD	no_recipe
0RB---_1RC---_0RD0LC_1LC1RD	no_recipe
0RB---_1RC---_0RD0RC_1LD1RC	no_recipe
0RB---_1RC---_0RD1LC_1LC1RD	no_recipe
0RB---_1RC---_1LC1RD_0RC0RD	no_recipe
0RB---_1RC---_1LC1RD_1LC0RD	no_recipe
0RB---_1RC---_1LD0RC_0LD1RC	no_recipe
0RB---_1RC---_1LD0RC_1LD1RC	no_recipe
0RB---_1RC---_1LD0RD_1RC0LC	no_recipe
0RB---_1RC---_1LD1RC_0RC0LD	no_recipe
0RB---_1RC---_1LD1RC_0RC1LD	no_recipe
0RB---_1RC---_1RD0LD_1LC0RC	no_recipe
0RB---_1RC---_1RD0RD_1LD1RC	no_recipe
0RB---_1RC---_1RD1LC_0LC0RD	no_recipe
0RB---_1RC0LC_1LB0RD_1RD0RB	no_recipe
0RB---_1RC0RC_1LC1LD_1RB0LB	no_recipe
0RB---_1RC1LD_0LD0RC_1LB1RD	no_recipe
