machine	theorem	file	L	T	t	contexts
0RB0RC_1RC0LC_0RD1RA_1LD0LB	nqh_0RB0RC_1RC0LC_0RD1RA_1LD0LB	theories/Machines/RWL8_00001.v	10	2	0	480
0RB0RC_1RC0RA_1LD0LD_1RB1LC	nqh_0RB0RC_1RC0RA_1LD0LD_1RB1LC	theories/Machines/RWL8_00002.v	16	2	0	2907
0RB1RB_1LC0RA_0LD0LC_1RD1LB	nqh_0RB1RB_1LC0RA_0LD0LC_1RD1LB	theories/Machines/RWL8_00003.v	9	2	0	974
1RB0LB_0RC1RD_0RD1RC_1LD0LA	nqh_1RB0LB_0RC1RD_0RD1RC_1LD0LA	theories/Machines/RWL8_00004.v	12	2	0	1282
1RB0LB_0RC1RD_1LC0LA_0RA0RB	nqh_1RB0LB_0RC1RD_1LC0LA_0RA0RB	theories/Machines/RWL8_00005.v	10	2	0	490
1RB0LB_1LC0RD_1LC1LA_1RA1RD	nqh_1RB0LB_1LC0RD_1LC1LA_1RA1RD	theories/Machines/RWL8_00006.v	12	2	0	628
1RB0LC_1LB1LA_1RD0LA_0RD0RB	nqh_1RB0LC_1LB1LA_1RD0LA_0RD0RB	theories/Machines/RWL8_00007.v	10	2	0	1521
1RB0LC_1LC0RC_1RD1LA_1RA0RA	nqh_1RB0LC_1LC0RC_1RD1LA_1RA0RA	theories/Machines/RWL8_00008.v	12	2	0	618
1RB0LC_1RC0RB_1RD1LD_1LA0RD	nqh_1RB0LC_1RC0RB_1RD1LD_1LA0RD	theories/Machines/RWL8_00009.v	11	2	0	455
1RB0LC_1RC0RD_1RD0LB_1LD1LA	nqh_1RB0LC_1RC0RD_1RD0LB_1LD1LA	theories/Machines/RWL8_00010.v	10	2	0	849
1RB0LD_0RC0RB_1LC1RA_0LA1LA	nqh_1RB0LD_0RC0RB_1LC1RA_0LA1LA	theories/Machines/RWL8_00011.v	9	2	0	971
1RB0LD_0RC0RB_1LD1RA_1LC1LA	nqh_1RB0LD_0RC0RB_1LD1RA_1LC1LA	theories/Machines/RWL8_00012.v	11	2	0	12029
1RB0LD_1LB1LC_1RD0LA_1RA0RB	nqh_1RB0LD_1LB1LC_1RD0LA_1RA0RB	theories/Machines/RWL8_00013.v	10	2	0	831
