machine	theorem	file	side	anchor	period	reach
1RB1RC_1LC0LD_1RA0LB_1LC0RC	nqh_1RB1RC_1LC0LD_1RA0LB_1LC0RC	theories/Machines/Bulk/TCyc_01.v	R	4052	7583	23
1RB0LC_1RC1RA_1LA0LD_1LA0RA	nqh_1RB0LC_1RC1RA_1LA0LD_1LA0RA	theories/Machines/Bulk/TCyc_01.v	R	4073	7583	23
1RB0RA_1LC0RD_0RD0LB_0LA1RA	nqh_1RB0RA_1LC0RD_0RD0LB_0LA1RA	theories/Machines/Bulk/TCyc_01.v	R	5831	4134	42
1RB0LA_1LC0RB_0LD1LA_1RA0LD	nqh_1RB0LA_1LC0RB_0LD1LA_1RA0LD	theories/Machines/Bulk/TCyc_01.v	L	6627	2075	24
1RB0RA_1RC0RB_1LD1LC_1RA0LC	nqh_1RB0RA_1RC0RB_1LD1LC_1RA0LC	theories/Machines/Bulk/TCyc_01.v	R	7475	29117	104
1RB0RD_0RC1RB_1LD0RC_1LA0LC	nqh_1RB0RD_0RC1RB_1LD0RC_1LA0LC	theories/Machines/Bulk/TCyc_01.v	R	7771	5479	50
1RB0LD_1RC1RB_1LA0RB_1LC0LC	nqh_1RB0LD_1RC1RB_1LA0RB_1LC0LC	theories/Machines/Bulk/TCyc_01.v	L	9897	1082	42
1RB0RA_1LC1RD_1LD0LC_0RB0LA	nqh_1RB0RA_1LC1RD_1LD0LC_0RB0LA	theories/Machines/Bulk/TCyc_01.v	L	10700	3333	43
1RB1LC_1RC0RB_0LA0RD_1LA0LD	nqh_1RB1LC_1RC0RB_0LA0RD_1LA0LD	theories/Machines/Bulk/TCyc_01.v	R	10706	3333	43
1RB0LC_1LC0RD_1LA1LC_1RA0RA	nqh_1RB0LC_1LC0RD_1LA1LC_1RA0RA	theories/Machines/Bulk/TCyc_01.v	R	10909	1082	42
1RB0LC_1RC0RA_1LA0LD_1LC0RC	nqh_1RB0LC_1RC0RA_1LA0LD_1LC0RC	theories/Machines/Bulk/TCyc_01.v	L	13353	4402	109
1RB0LB_1LC0RD_1LD1LB_1RB0RA	nqh_1RB0LB_1LC0RD_1LD1LB_1RB0RA	theories/Machines/Bulk/TCyc_01.v	L	14403	7583	23
1RB0RD_1LC0RA_1LA1LB_1RB0LB	nqh_1RB0RD_1LC0RA_1LA1LB_1RB0LB	theories/Machines/Bulk/TCyc_01.v	L	14403	7583	23
1RB0RC_1LC0LD_1RA0LB_1LB0RB	nqh_1RB0RC_1LC0LD_1RA0LB_1LB0RB	theories/Machines/Bulk/TCyc_01.v	L	15800	4402	109
1RB0LB_1RC0RA_1LD0RB_1LB0LC	nqh_1RB0LB_1RC0RA_1LD0RB_1LB0LC	theories/Machines/Bulk/TCyc_01.v	R	15804	4402	109
1RB0RB_1LC1RA_0LD1LA_0RA0LA	nqh_1RB0RB_1LC1RA_0LD1LA_0RA0LA	theories/Machines/Bulk/TCyc_01.v	L	17120	1947	40
1RB0RD_1LC0RA_1LA0LB_1RA0LA	nqh_1RB0RD_1LC0RA_1LA0LB_1RA0LA	theories/Machines/Bulk/TCyc_01.v	R	18003	4402	109
1RB0LB_1RC0RB_0LD1RA_0LA1LD	nqh_1RB0LB_1RC0RB_0LD1RA_0LA1LD	theories/Machines/Bulk/TCyc_01.v	R	24736	8109	35
1RB1RA_0RC0LB_0RD0RA_1LD0LA	nqh_1RB1RA_0RC0LB_0RD0RA_1LD0LA	theories/Machines/Bulk/TCyc_01.v	R	29049	5588	61
1RB0LA_1RC0RA_1LD0RC_0LB1LA	nqh_1RB0LA_1RC0RA_1LD0RC_0LB1LA	theories/Machines/Bulk/TCyc_01.v	R	58455	88381	91
1RB0RD_1LC0RB_0LA1LD_1RA0LD	nqh_1RB0RD_1LC0RB_0LA1LD_1RA0LD	theories/Machines/Bulk/TCyc_01.v	R	59150	88381	113
