machine	theorem	file	quiet_state	score	n	t	contexts
1RB---_0LC0LC_1RC0RD_1LB1RD	qh_1RBXXX_0LC0LC_1RC0RD_1LB1RD	theories/Machines/Bulk/Wrap_01.v	A	1	2	1	47
1RB---_0LC1RB_1RC0RD_1LB1RB	qh_1RBXXX_0LC1RB_1RC0RD_1LB1RB	theories/Machines/Bulk/Wrap_01.v	A	1	2	1	43
1RB---_0RC0RC_1LC0LD_1RB1LD	qh_1RBXXX_0RC0RC_1LC0LD_1RB1LD	theories/Machines/Bulk/Wrap_01.v	A	1	2	1	42
1RB---_0RC1LB_1LC0LD_1RB1LB	qh_1RBXXX_0RC1LB_1LC0LD_1RB1LB	theories/Machines/Bulk/Wrap_01.v	A	1	2	1	43
1RB---_1LB0LC_1RD1LC_0RB0RB	qh_1RBXXX_1LB0LC_1RD1LC_0RB0RB	theories/Machines/Bulk/Wrap_01.v	A	1	2	1	43
1RB---_1LB0LC_1RD1LD_0RB1LD	qh_1RBXXX_1LB0LC_1RD1LD_0RB1LD	theories/Machines/Bulk/Wrap_01.v	A	1	2	1	44
1RB---_1LC0LB_0RC0LD_1RD1RB	qh_1RBXXX_1LC0LB_0RC0LD_1RD1RB	theories/Machines/Bulk/Wrap_01.v	A	1	2	1	40
1RB---_1LC0RD_1LD1LB_1RB0LC	qh_1RBXXX_1LC0RD_1LD1LB_1RB0LC	theories/Machines/Bulk/Wrap_01.v	A	1	2	1	66
1RB---_1LC0RD_1RD0LB_1RB1RC	qh_1RBXXX_1LC0RD_1RD0LB_1RB1RC	theories/Machines/Bulk/Wrap_01.v	A	1	2	1	66
1RB---_1LC1LD_1RD0LB_1LB0RC	qh_1RBXXX_1LC1LD_1RD0LB_1LB0RC	theories/Machines/Bulk/Wrap_01.v	A	1	2	1	66
1RB---_1LC1RB_0LD0LD_1RD0RB	qh_1RBXXX_1LC1RB_0LD0LD_1RD0RB	theories/Machines/Bulk/Wrap_01.v	A	1	2	1	41
1RB---_1LC1RC_0LD1RC_1RD0RB	qh_1RBXXX_1LC1RC_0LD1RC_1RD0RB	theories/Machines/Bulk/Wrap_01.v	A	1	2	1	46
1RB---_1RC0LD_1LD0RB_1LB1LC	qh_1RBXXX_1RC0LD_1LD0RB_1LB1LC	theories/Machines/Bulk/Wrap_01.v	A	1	2	1	71
1RB---_1RC0LD_1RD1RB_1LB0RC	qh_1RBXXX_1RC0LD_1RD1RB_1LB0RC	theories/Machines/Bulk/Wrap_01.v	A	1	2	1	66
1RB---_1RC0RB_0LC0RD_1LD1LB	qh_1RBXXX_1RC0RB_0LC0RD_1LD1LB	theories/Machines/Bulk/Wrap_01.v	A	1	2	1	41
1RB---_1RC1LB_0RD0RD_1LD0LB	qh_1RBXXX_1RC1LB_0RD0RD_1LD0LB	theories/Machines/Bulk/Wrap_01.v	A	1	2	1	41
1RB---_1RC1LC_0RD1LC_1LD0LB	qh_1RBXXX_1RC1LC_0RD1LC_1LD0LB	theories/Machines/Bulk/Wrap_01.v	A	1	2	1	43
1RB---_1RC1RD_1LD0RB_1RB0LC	qh_1RBXXX_1RC1RD_1LD0RB_1RB0LC	theories/Machines/Bulk/Wrap_01.v	A	1	2	1	67
