machine	quiet_state	s	n	t
0RB---_0LC---_0LD0RC_1RC1LD	B	1	2	64
0RB---_0LC---_0LD1LC_1RC1LD	B	1	2	64
0RB---_0LC---_0LD1RC_1RC1LD	B	1	2	64
0RB---_0LC---_0RD0LC_1LC1RD	B	1	2	64
0RB---_0LC---_0RD1LC_1LC1RD	B	1	2	64
0RB---_0LC---_0RD1LC_1RB1RD	A	0	2	64
0RB---_0LC---_0RD1RC_1LC1RD	B	1	2	64
0RB---_0LC---_1LD0LD_1RD1LC	B	1	2	64
0RB---_0LC---_1LD0RC_0RD1RC	B	1	2	64
0RB---_0LC---_1LD0RC_1RD1RC	B	1	2	64
0RB---_0LC---_1LD0RD_1RC0LC	B	1	2	64
0RB---_0LC---_1LD1RC_0RC0LD	B	1	2	64
0RB---_0LC---_1LD1RC_0RC1LD	B	1	2	64
0RB---_0LC---_1LD1RC_1RC1LD	B	1	2	64
0RB---_0LC---_1RD0LC_0LD1LC	B	1	2	64
0RB---_0LC---_1RD0LC_1LD1LC	B	1	2	64
0RB---_0LC---_1RD0LD_1LC0RC	B	1	2	64
0RB---_0LC---_1RD0RD_1LD1RC	B	1	2	64
0RB---_0LC---_1RD1LC_0LC0RD	B	1	2	64
0RB---_0LC---_1RD1LC_0LC1RD	B	1	2	64
0RB---_0LC---_1RD1LC_1LC1RD	B	1	2	64
0RB---_0LC---_1RD1LC_1RB1RD	A	0	2	64
0RB---_0LC0LB_0LD1LB_1RC1LD	A	0	2	64
0RB---_0LC0LB_0RD1LB_1LC1RD	A	0	2	64
0RB---_0LC0LB_1LD0RB_1RC1LC	A	0	2	64
0RB---_0LC0LB_1LD1LC_1RD1RB	A	0	2	64
0RB---_0LC0LB_1RB1RD_1LD1LC	A	0	2	64
0RB---_0LC0LB_1RD0RB_1LD1LC	A	0	2	64
0RB---_0LC0LB_1RD1LC_1LC0RB	A	0	2	64
0RB---_0LC0LB_1RD1LC_1RB0LB	A	0	2	64
0RB---_0LC0LB_1RD1LC_1RB0RB	A	0	2	64
0RB---_0LC0LB_1RD1LC_1RB1LB	A	0	2	64
0RB---_0LC0LB_1RD1LC_1RB1LD	A	0	2	64
0RB---_0LC0LB_1RD1LD_1RB1LB	A	0	2	64
0RB---_0LC0LB_1RD1LD_1RB1LC	A	0	2	64
0RB---_0LC0LB_1RD1RB_1LD1LC	A	0	2	64
0RB---_0LC0LC_0LD1LB_1RC1LD	A	0	2	64
0RB---_0LC0LC_0RD1LB_1LC1RD	A	0	2	64
0RB---_0LC0LC_1RD1LC_0LC1LB	A	0	2	64
0RB---_0LC0LC_1RD1LC_1LC0LB	A	0	2	64
0RB---_0LC0LC_1RD1LC_1LC1LB	A	0	2	64
0RB---_0LC0LC_1RD1LC_1RB0LB	A	0	2	64
0RB---_0LC0LC_1RD1LC_1RB1LB	A	0	2	64
0RB---_0LC0LD_0LD1LB_1RC1LD	A	0	2	64
0RB---_0LC0LD_0LD1LD_1RB1LB	A	0	2	64
0RB---_0LC0LD_0LD1LD_1RB1LC	A	0	2	64
0RB---_0LC0LD_0RD1LB_1LC1RD	A	0	2	64
0RB---_0LC0LD_0RD1LB_1RB1RC	A	0	2	64
0RB---_0LC0LD_1LD0LB_1RC0LB	A	0	2	64
0RB---_0LC0LD_1LD0LB_1RC0LC	A	0	2	64
0RB---_0LC0LD_1LD0LB_1RC1LB	A	0	2	64
0RB---_0LC0LD_1LD0LB_1RC1LC	A	0	2	64
0RB---_0LC0LD_1LD0LB_1RC1LD	A	0	2	64
0RB---_0LC0LD_1LD1LB_1RB0LD	A	0	2	64
0RB---_0LC0LD_1LD1LB_1RC0LB	A	0	2	64
0RB---_0LC0LD_1LD1LB_1RC0LC	A	0	2	64
0RB---_0LC0LD_1LD1LB_1RC0RC	A	0	2	64
0RB---_0LC0LD_1LD1LB_1RC1LB	A	0	2	64
0RB---_0LC0LD_1LD1LB_1RC1LC	A	0	2	64
0RB---_0LC0LD_1LD1LB_1RC1LD	A	0	2	64
0RB---_0LC0LD_1LD1LB_1RC1RB	A	0	2	64
0RB---_0LC0LD_1LD1LB_1RD1RB	A	0	2	64
0RB---_0LC0LD_1LD1LC_1RB0LD	A	0	2	64
0RB---_0LC0LD_1LD1LC_1RB1RD	A	0	2	64
0RB---_0LC0LD_1LD1RD_1RC1LB	A	0	2	64
0RB---_0LC0LD_1RB1LC_---1RC	A	0	2	64
0RB---_0LC0LD_1RB1LC_1LB0RD	A	0	2	64
0RB---_0LC0LD_1RB1LC_1RB1RD	A	0	2	64
0RB---_0LC0LD_1RB1LD_1RD1LB	A	0	2	64
0RB---_0LC0LD_1RD1LB_1RB0RC	A	0	2	64
0RB---_0LC0LD_1RD1LD_1RB0LD	A	0	2	64
0RB---_0LC0RB_0LD1LD_1RB1LC	A	0	2	64
0RB---_0LC0RB_0RD1LB_1LC1RB	A	0	2	64
0RB---_0LC0RB_0RD1LB_1LC1RD	A	0	2	64
0RB---_0LC0RB_0RD1LB_1RB---	A	0	2	64
0RB---_0LC0RB_0RD1LC_1RB1LB	A	0	2	64
0RB---_0LC0RB_0RD1LD_1LC1RB	A	0	2	64
0RB---_0LC0RB_1LD---_1RB1LD	A	0	2	64
0RB---_0LC0RB_1LD0LC_1RB0LD	A	0	2	64
0RB---_0LC0RB_1LD0RB_1RB0LD	A	0	2	64
0RB---_0LC0RB_1LD0RB_1RC1LC	A	0	2	64
0RB---_0LC0RB_1LD0RB_1RC1LD	A	0	2	64
0RB---_0LC0RB_1LD0RC_1RB0LD	A	0	2	64
0RB---_0LC0RB_1LD0RC_1RB1RD	A	0	2	64
0RB---_0LC0RB_1LD1LC_1RB0RC	A	0	2	64
0RB---_0LC0RB_1LD1LC_1RB1RC	A	0	2	64
0RB---_0LC0RB_1LD1LC_1RD1RB	A	0	2	64
0RB---_0LC0RB_1LD1LD_1RB0LD	A	0	2	64
0RB---_0LC0RB_1LD1RB_1RD1LC	A	0	2	64
0RB---_0LC0RB_1LD1RD_1RB0LD	A	0	2	64
0RB---_0LC0RB_1RB0LD_1LC1LD	A	0	2	64
0RB---_0LC0RB_1RB1LC_------	A	0	2	64
0RB---_0LC0RB_1RB1LD_0RD1LC	A	0	2	64
0RB---_0LC0RB_1RB1LD_1RB0LD	A	0	2	64
0RB---_0LC0RB_1RB1LD_1RB1LC	A	0	2	64
0RB---_0LC0RB_1RB1LD_1RB1LD	A	0	2	64
0RB---_0LC0RB_1RB1LD_1RC0LD	A	0	2	64
0RB---_0LC0RB_1RB1LD_1RC1LC	A	0	2	64
0RB---_0LC0RB_1RD0LD_1RB1LD	A	0	2	64
0RB---_0LC0RB_1RD1LC_0LC0RB	A	0	2	64
0RB---_0LC0RB_1RD1LC_0LC1RB	A	0	2	64
0RB---_0LC0RB_1RD1LC_0LD1RB	A	0	2	64
0RB---_0LC0RB_1RD1LC_1LC1RB	A	0	2	64
0RB---_0LC0RB_1RD1LC_1RB0LB	A	0	2	64
0RB---_0LC0RB_1RD1LC_1RB1RB	A	0	2	64
0RB---_0LC0RB_1RD1LD_1LC1RB	A	0	2	64
0RB---_0LC0RB_1RD1LD_1RB0LC	A	0	2	64
0RB---_0LC0RB_1RD1LD_1RB0LD	A	0	2	64
0RB---_0LC0RB_1RD1LD_1RB0RD	A	0	2	64
0RB---_0LC0RB_1RD1LD_1RB1LB	A	0	2	64
0RB---_0LC0RC_0LD1LB_1RC1LD	A	0	2	64
0RB---_0LC0RC_0LD1LD_1RB0LB	A	0	2	64
0RB---_0LC0RC_0LD1LD_1RB0LC	A	0	2	64
0RB---_0LC0RC_0LD1LD_1RB0LD	A	0	2	64
0RB---_0LC0RC_0LD1LD_1RB1LB	A	0	2	64
0RB---_0LC0RC_0LD1LD_1RB1LC	A	0	2	64
0RB---_0LC0RC_0LD1LD_1RB1LD	A	0	2	64
0RB---_0LC0RC_0LD1RC_1RB1LD	A	0	2	64
0RB---_0LC0RC_0RD1LB_1LC1RD	A	0	2	64
